task_id,image,diagnosis,user,date,icl
0,273,Plus,karyn,Wed Jul 29 2015 16:42:11 GMT-0400 (Eastern Daylight Time),icsfy_set34_rev2
1,277,PrePlus,karyn,Wed Jul 29 2015 16:42:17 GMT-0400 (Eastern Daylight Time),icsfy_set34_rev2
10,254,Plus,karyn,Wed Jul 29 2015 16:42:50 GMT-0400 (Eastern Daylight Time),icsfy_set34_rev2
11,266,Normal,karyn,Wed Jul 29 2015 16:42:53 GMT-0400 (Eastern Daylight Time),icsfy_set34_rev2
12,247,PrePlus,karyn,Wed Jul 29 2015 16:42:56 GMT-0400 (Eastern Daylight Time),icsfy_set34_rev2
13,259,PrePlus,karyn,Wed Jul 29 2015 16:42:59 GMT-0400 (Eastern Daylight Time),icsfy_set34_rev2
14,253,Normal,karyn,Wed Jul 29 2015 16:43:03 GMT-0400 (Eastern Daylight Time),icsfy_set34_rev2
15,251,Plus,karyn,Wed Jul 29 2015 16:43:06 GMT-0400 (Eastern Daylight Time),icsfy_set34_rev2
16,267,Plus,karyn,Wed Jul 29 2015 16:43:08 GMT-0400 (Eastern Daylight Time),icsfy_set34_rev2
17,269,Plus,karyn,Wed Jul 29 2015 16:43:11 GMT-0400 (Eastern Daylight Time),icsfy_set34_rev2
18,253,Normal,karyn,Wed Jul 29 2015 16:43:20 GMT-0400 (Eastern Daylight Time),icsfy_set34_rev2
19,270,Plus,karyn,Wed Jul 29 2015 16:43:24 GMT-0400 (Eastern Daylight Time),icsfy_set34_rev2
2,256,PrePlus,karyn,Wed Jul 29 2015 16:42:24 GMT-0400 (Eastern Daylight Time),icsfy_set34_rev2
20,250,Plus,karyn,Wed Jul 29 2015 16:43:26 GMT-0400 (Eastern Daylight Time),icsfy_set34_rev2
21,274,Plus,karyn,Wed Jul 29 2015 16:43:28 GMT-0400 (Eastern Daylight Time),icsfy_set34_rev2
22,260,PrePlus,karyn,Wed Jul 29 2015 16:43:39 GMT-0400 (Eastern Daylight Time),icsfy_set34_rev2
