task_id,image0,image1,winner,user,date,icl
0,108,109,-1,mike,Sat May 02 2015 21:53:20 GMT-0400 (EDT),icl_9
1,110,111,1,mike,Sat May 02 2015 21:53:22 GMT-0400 (EDT),icl_9
2,109,111,1,mike,Sat May 02 2015 21:53:24 GMT-0400 (EDT),icl_9
3,108,110,1,mike,Sat May 02 2015 21:53:26 GMT-0400 (EDT),icl_9
4,110,108,-1,mike,Sat May 02 2015 21:53:28 GMT-0400 (EDT),icl_9
5,109,110,1,mike,Sat May 02 2015 21:53:32 GMT-0400 (EDT),icl_9
6,108,111,1,mike,Sat May 02 2015 21:53:37 GMT-0400 (EDT),icl_9
0,108,109,-1,susan,Sat May 02 2015 21:53:51 GMT-0400 (EDT),icl_9
1,110,111,1,susan,Sat May 02 2015 21:53:52 GMT-0400 (EDT),icl_9
2,109,111,1,susan,Sat May 02 2015 21:53:53 GMT-0400 (EDT),icl_9
3,108,110,1,susan,Sat May 02 2015 21:53:56 GMT-0400 (EDT),icl_9
4,110,108,-1,susan,Sat May 02 2015 21:53:58 GMT-0400 (EDT),icl_9
5,109,110,1,susan,Sat May 02 2015 21:54:00 GMT-0400 (EDT),icl_9
6,108,111,1,susan,Sat May 02 2015 21:54:02 GMT-0400 (EDT),icl_9
