taskId,ImageID,Origin
0,165,beau-0008-1-OS-posterior.bmp
1,194,ohsu-0031-cc-3rd-OS-posterior.bmp
2,219,ohsu-0038-eh-1st-OD-posterior.bmp
3,143,ohsu-0049-nv-14-OS-posterior2.bmp
4,175,ohsu-0006-sr-2nd session-OS-posterior.bmp
5,177,ohsu-0039-xm-2nd-OS-posterior.bmp
6,198,ohsu-0119-1-OD-posterior.bmp
7,213,ohsu-0065-1-OD-posterior.bmp
8,139,ohsu-0038-eh-2nd-OD-posterior.bmp
9,174,ohsu-0043-aw-6th-OS-posterior.bmp
10,206,ohsu-0044-5-OS-posterior2.bmp
11,162,ohsu-001-gb-6th session-OD-posterior1.bmp
12,208,ohsu-0082-2-OS-posterior.bmp
13,209,ohsu-0083-2-OS-posterior.bmp
14,187,24-second-OS-temporal.bmp
15,163,ohsu-0002-3-os-posterior2.bmp
16,182,4_Full.JPG
17,134,ohsu-0002-2-od-posterior2.bmp
18,132,ohsu-0049-10-os.bmp
19,195,ohsu-0066-kg-5th-OS-posterior.bmp
20,180,ohsu-0058-hv-5-OS-posterior2.bmp
21,218,ohsu-0054-4-os.bmp
22,194,ohsu-0031-cc-3rd-OS-posterior.bmp
23,156,ohsu-0076-6-OD-posterior.bmp
24,136,ohsu-0008-jf-3rd session-OS-posterior2.bmp
25,149,8_Full.JPG
26,188,ohsu-0073-2-OS-posterior.bmp
27,220,ohsu-0034-8-od-posterior2.bmp
28,151,ohsu-0015-cw-1st-OS-posterior.bmp
29,211,5_Full.JPG
30,172,corn-0025-2-os.bmp
31,186,ohsu-0058-5-OD-posterior.bmp
32,142,ohsu-0054-5-os.bmp
33,215,ohsu-0010-cm-3rd session-OD-posterior2.bmp
34,132,ohsu-0049-10-os.bmp
35,169,ohsu-0109-1-OD-posterior.bmp
36,147,ohsu-0123-4-OS-posterior.bmp
37,176,ohsu-0063-2-OD-posterior.bmp
38,173,ohsu-0001-4-od-posterior2.bmp
39,133,ohsu-0032-jv-3rd-OD-posterior.bmp
40,201,ohsu-0041-am-1st-OS-posterior.bmp
41,217,ohsu-0041-am-1st-OD-posterior.bmp
42,138,ohsu-0096-1-OS-posterior.bmp
43,173,ohsu-0001-4-od-posterior2.bmp
44,170,ohsu-0087-4-OS-posterior.bmp
45,129,ohsu-0039-xm-1st-OD-posterior.bmp
46,157,ohsu-0084-7-OS-posterior.bmp
47,174,ohsu-0043-aw-6th-OS-posterior.bmp
48,214,ohsu-0058-hv-5-OD-posterior2.bmp
49,164,miam--0027-2-od.BMP
50,183,ohsu-0117-1-OD-posterior.bmp
51,152,miam-0001-2-os.BMP
52,183,ohsu-0117-1-OD-posterior.bmp
53,126,corn-0018-3-od-posterior.bmp
54,176,ohsu-0063-2-OD-posterior.bmp
55,205,ohsu-0063-3-OS-posterior.bmp
56,130,33_Full.JPG
57,135,ohsu-0065-1-OS-posterior.bmp
58,199,rcor-0005-1-os.bmp
59,185,OHSU-0024-em-1st-OS-posterior.bmp
60,202,ohsu-0046-vv-1st-OS-posterior.bmp
61,196,ohsu-0011-mb-1st-OD-posterior.bmp
62,189,ohsu-0073-1-OD-posterior.bmp
63,207,miam-0018-5-od.BMP
64,159,miam-0012-2-od.BMP
65,153,13_Full.JPG
66,197,ohsu-0078-1-OS-posterior.bmp
67,192,ohsu-0060-2-OD-posterior.bmp
68,139,ohsu-0038-eh-2nd-OD-posterior.bmp
69,193,ohsu-0049-12-od.bmp
70,212,miam-0011-2-od.BMP
71,171,ohsu-0021-cl-2nd-OD-posterior.bmp
72,178,ohsu-0072-2-OS-posterior.bmp
73,127,RCOL-0024-second-OD-posterior.bmp
74,191,24_Full.bmp
75,200,miam-0014-3-os.BMP
76,125,ohsu-0001-6-os-posterior2.bmp
77,185,OHSU-0024-em-1st-OS-posterior.bmp
78,190,ohsu-0040-tm-1st-OS-posterior.bmp
79,210,ohsu-0124-6-OS-posterior.bmp
80,129,ohsu-0039-xm-1st-OD-posterior.bmp
81,160,ohsu-0011-mb-2nd-OS-posterior.bmp
82,141,30_Full.bmp
83,140,ohsu-0057-5-os.bmp
84,146,ohsu-0118-10-OD-posterior.bmp
85,128,ohsu-0029-ps-2nd-OD-posterior.bmp
86,170,ohsu-0087-4-OS-posterior.bmp
87,181,RCOL-0024-second-OS-posterior.bmp
88,159,miam-0012-2-od.BMP
89,161,ohsu-0040-tm-1st-OD-posterior.bmp
90,131,ohsu-0060-3-OS-posterior.bmp
91,204,ohsu-0083-2-OD-posterior.bmp
92,145,corn-0018-3-os-posterior.bmp
93,196,ohsu-0011-mb-1st-OD-posterior.bmp
94,148,ohsu-0135-7-OS-posterior.bmp
95,214,ohsu-0058-hv-5-OD-posterior2.bmp
96,152,miam-0001-2-os.BMP
97,155,ohsu-0053-js-2nd-OS-posterior.bmp
98,142,ohsu-0054-5-os.bmp
99,121,ohsu-0046-vv-2nd-OD-posterior.bmp
100,124,ohsu-0017-nh-2nd-OD-posterior2.bmp
101,203,ohsu-0070-7-OS-posterior.bmp
102,158,ohsu-0085-2-OD-posterior.bmp
103,122,32_Full.JPG
104,123,miam-0018-4-os.BMP
105,166,ohsu-0103-2-OS-posterior.bmp
106,178,ohsu-0072-2-OS-posterior.bmp
107,161,ohsu-0040-tm-1st-OD-posterior.bmp
108,150,ohsu-0020-gl-5th-OD-posterior.bmp
109,123,miam-0018-4-os.BMP
110,180,ohsu-0058-hv-5-OS-posterior2.bmp
111,167,beau-0061-4-OS-posterior.bmp
112,144,ohsu-0079-3-OS-posterior.bmp
113,154,ohsu-0063-1-OS-posterior.bmp
114,184,ohsu-0030-ks-3rd-OS-posterior.bmp
115,168,ohsu-0104-8-OS-posterior.bmp
116,155,ohsu-0053-js-2nd-OS-posterior.bmp
117,179,ohsu-0072-2-OD-posterior.bmp
118,137,ohsu-0124-6-OD-posterior.bmp
119,216,21_Full.bmp
