task_id,image,diagnosis,user,date,icl
0,165,PrePlus,karyn,Wed Jul 29 2015 16:45:15 GMT-0400 (Eastern Daylight Time),icsfy_100
1,194,Normal,karyn,Wed Jul 29 2015 16:45:19 GMT-0400 (Eastern Daylight Time),icsfy_100
10,206,Normal,karyn,Wed Jul 29 2015 16:45:44 GMT-0400 (Eastern Daylight Time),icsfy_100
100,124,Normal,karyn,Wed Jul 29 2015 16:56:07 GMT-0400 (Eastern Daylight Time),icsfy_100
101,203,PrePlus,karyn,Wed Jul 29 2015 16:56:13 GMT-0400 (Eastern Daylight Time),icsfy_100
102,158,Plus,karyn,Wed Jul 29 2015 16:56:16 GMT-0400 (Eastern Daylight Time),icsfy_100
103,122,PrePlus,karyn,Wed Jul 29 2015 16:56:22 GMT-0400 (Eastern Daylight Time),icsfy_100
104,123,PrePlus,karyn,Wed Jul 29 2015 16:56:33 GMT-0400 (Eastern Daylight Time),icsfy_100
105,166,Normal,karyn,Wed Jul 29 2015 16:56:35 GMT-0400 (Eastern Daylight Time),icsfy_100
106,178,Normal,karyn,Wed Jul 29 2015 16:56:37 GMT-0400 (Eastern Daylight Time),icsfy_100
107,161,Normal,karyn,Wed Jul 29 2015 16:56:38 GMT-0400 (Eastern Daylight Time),icsfy_100
108,150,Normal,karyn,Wed Jul 29 2015 16:56:40 GMT-0400 (Eastern Daylight Time),icsfy_100
109,123,PrePlus,karyn,Wed Jul 29 2015 16:56:43 GMT-0400 (Eastern Daylight Time),icsfy_100
11,162,PrePlus,karyn,Wed Jul 29 2015 16:45:46 GMT-0400 (Eastern Daylight Time),icsfy_100
110,180,Plus,karyn,Wed Jul 29 2015 16:56:45 GMT-0400 (Eastern Daylight Time),icsfy_100
111,167,PrePlus,karyn,Wed Jul 29 2015 16:56:55 GMT-0400 (Eastern Daylight Time),icsfy_100
112,144,Normal,karyn,Wed Jul 29 2015 16:56:56 GMT-0400 (Eastern Daylight Time),icsfy_100
113,154,Normal,karyn,Wed Jul 29 2015 16:56:58 GMT-0400 (Eastern Daylight Time),icsfy_100
114,184,Normal,karyn,Wed Jul 29 2015 16:56:59 GMT-0400 (Eastern Daylight Time),icsfy_100
115,168,Normal,karyn,Wed Jul 29 2015 16:57:01 GMT-0400 (Eastern Daylight Time),icsfy_100
116,155,Normal,karyn,Wed Jul 29 2015 16:57:02 GMT-0400 (Eastern Daylight Time),icsfy_100
117,179,Normal,karyn,Wed Jul 29 2015 16:57:04 GMT-0400 (Eastern Daylight Time),icsfy_100
118,137,PrePlus,karyn,Wed Jul 29 2015 16:57:08 GMT-0400 (Eastern Daylight Time),icsfy_100
119,216,Plus,karyn,Wed Jul 29 2015 16:57:10 GMT-0400 (Eastern Daylight Time),icsfy_100
12,208,Normal,karyn,Wed Jul 29 2015 16:45:48 GMT-0400 (Eastern Daylight Time),icsfy_100
13,209,Normal,karyn,Wed Jul 29 2015 16:45:49 GMT-0400 (Eastern Daylight Time),icsfy_100
14,187,Plus,karyn,Wed Jul 29 2015 16:45:52 GMT-0400 (Eastern Daylight Time),icsfy_100
15,163,PrePlus,karyn,Wed Jul 29 2015 16:45:55 GMT-0400 (Eastern Daylight Time),icsfy_100
16,182,Plus,karyn,Wed Jul 29 2015 16:45:57 GMT-0400 (Eastern Daylight Time),icsfy_100
17,134,PrePlus,karyn,Wed Jul 29 2015 16:46:05 GMT-0400 (Eastern Daylight Time),icsfy_100
18,132,PrePlus,karyn,Wed Jul 29 2015 16:46:08 GMT-0400 (Eastern Daylight Time),icsfy_100
19,195,Normal,karyn,Wed Jul 29 2015 16:46:09 GMT-0400 (Eastern Daylight Time),icsfy_100
2,219,Normal,karyn,Wed Jul 29 2015 16:45:21 GMT-0400 (Eastern Daylight Time),icsfy_100
20,180,Plus,karyn,Wed Jul 29 2015 16:46:13 GMT-0400 (Eastern Daylight Time),icsfy_100
21,218,Plus,karyn,Wed Jul 29 2015 16:46:19 GMT-0400 (Eastern Daylight Time),icsfy_100
22,194,Normal,karyn,Wed Jul 29 2015 16:46:21 GMT-0400 (Eastern Daylight Time),icsfy_100
23,156,Normal,karyn,Wed Jul 29 2015 16:46:23 GMT-0400 (Eastern Daylight Time),icsfy_100
24,136,Normal,karyn,Wed Jul 29 2015 16:46:24 GMT-0400 (Eastern Daylight Time),icsfy_100
25,149,Plus,karyn,Wed Jul 29 2015 16:46:27 GMT-0400 (Eastern Daylight Time),icsfy_100
26,188,Normal,karyn,Wed Jul 29 2015 16:46:28 GMT-0400 (Eastern Daylight Time),icsfy_100
27,220,PrePlus,karyn,Wed Jul 29 2015 16:46:32 GMT-0400 (Eastern Daylight Time),icsfy_100
28,151,Normal,karyn,Wed Jul 29 2015 16:46:35 GMT-0400 (Eastern Daylight Time),icsfy_100
29,211,Plus,karyn,Wed Jul 29 2015 16:46:38 GMT-0400 (Eastern Daylight Time),icsfy_100
3,143,PrePlus,karyn,Wed Jul 29 2015 16:45:30 GMT-0400 (Eastern Daylight Time),icsfy_100
30,172,PrePlus,karyn,Wed Jul 29 2015 16:46:42 GMT-0400 (Eastern Daylight Time),icsfy_100
31,186,Plus,karyn,Wed Jul 29 2015 16:46:44 GMT-0400 (Eastern Daylight Time),icsfy_100
32,142,Plus,karyn,Wed Jul 29 2015 16:46:49 GMT-0400 (Eastern Daylight Time),icsfy_100
33,215,Normal,karyn,Wed Jul 29 2015 16:46:51 GMT-0400 (Eastern Daylight Time),icsfy_100
34,132,PrePlus,karyn,Wed Jul 29 2015 16:46:53 GMT-0400 (Eastern Daylight Time),icsfy_100
35,169,Normal,karyn,Wed Jul 29 2015 16:46:55 GMT-0400 (Eastern Daylight Time),icsfy_100
36,147,Normal,karyn,Wed Jul 29 2015 16:46:58 GMT-0400 (Eastern Daylight Time),icsfy_100
37,176,Normal,karyn,Wed Jul 29 2015 16:46:59 GMT-0400 (Eastern Daylight Time),icsfy_100
38,173,PrePlus,karyn,Wed Jul 29 2015 16:47:02 GMT-0400 (Eastern Daylight Time),icsfy_100
39,133,Normal,karyn,Wed Jul 29 2015 16:47:03 GMT-0400 (Eastern Daylight Time),icsfy_100
4,175,Normal,karyn,Wed Jul 29 2015 16:45:32 GMT-0400 (Eastern Daylight Time),icsfy_100
40,201,Normal,karyn,Wed Jul 29 2015 16:47:05 GMT-0400 (Eastern Daylight Time),icsfy_100
41,217,Normal,karyn,Wed Jul 29 2015 16:47:06 GMT-0400 (Eastern Daylight Time),icsfy_100
42,138,Normal,karyn,Wed Jul 29 2015 16:47:08 GMT-0400 (Eastern Daylight Time),icsfy_100
43,173,PrePlus,karyn,Wed Jul 29 2015 16:47:10 GMT-0400 (Eastern Daylight Time),icsfy_100
44,170,Normal,karyn,Wed Jul 29 2015 16:47:12 GMT-0400 (Eastern Daylight Time),icsfy_100
45,129,Normal,karyn,Wed Jul 29 2015 16:47:13 GMT-0400 (Eastern Daylight Time),icsfy_100
46,157,Normal,karyn,Wed Jul 29 2015 16:47:16 GMT-0400 (Eastern Daylight Time),icsfy_100
47,174,Normal,karyn,Wed Jul 29 2015 16:47:18 GMT-0400 (Eastern Daylight Time),icsfy_100
48,214,Plus,karyn,Wed Jul 29 2015 16:47:21 GMT-0400 (Eastern Daylight Time),icsfy_100
49,164,Normal,karyn,Wed Jul 29 2015 16:47:23 GMT-0400 (Eastern Daylight Time),icsfy_100
5,177,Normal,karyn,Wed Jul 29 2015 16:45:33 GMT-0400 (Eastern Daylight Time),icsfy_100
50,183,Normal,karyn,Wed Jul 29 2015 16:47:24 GMT-0400 (Eastern Daylight Time),icsfy_100
51,152,Normal,karyn,Wed Jul 29 2015 16:47:26 GMT-0400 (Eastern Daylight Time),icsfy_100
52,183,Normal,karyn,Wed Jul 29 2015 16:47:27 GMT-0400 (Eastern Daylight Time),icsfy_100
53,126,Normal,karyn,Wed Jul 29 2015 16:47:35 GMT-0400 (Eastern Daylight Time),icsfy_100
54,176,Normal,karyn,Wed Jul 29 2015 16:52:09 GMT-0400 (Eastern Daylight Time),icsfy_100
55,205,Normal,karyn,Wed Jul 29 2015 16:52:11 GMT-0400 (Eastern Daylight Time),icsfy_100
56,130,Plus,karyn,Wed Jul 29 2015 16:52:29 GMT-0400 (Eastern Daylight Time),icsfy_100
57,135,Normal,karyn,Wed Jul 29 2015 16:52:32 GMT-0400 (Eastern Daylight Time),icsfy_100
58,199,Plus,karyn,Wed Jul 29 2015 16:52:35 GMT-0400 (Eastern Daylight Time),icsfy_100
59,185,Normal,karyn,Wed Jul 29 2015 16:52:38 GMT-0400 (Eastern Daylight Time),icsfy_100
6,198,Normal,karyn,Wed Jul 29 2015 16:45:35 GMT-0400 (Eastern Daylight Time),icsfy_100
60,202,Normal,karyn,Wed Jul 29 2015 16:52:39 GMT-0400 (Eastern Daylight Time),icsfy_100
61,196,Normal,karyn,Wed Jul 29 2015 16:52:42 GMT-0400 (Eastern Daylight Time),icsfy_100
62,189,Normal,karyn,Wed Jul 29 2015 16:52:47 GMT-0400 (Eastern Daylight Time),icsfy_100
63,207,Plus,karyn,Wed Jul 29 2015 16:53:03 GMT-0400 (Eastern Daylight Time),icsfy_100
64,159,PrePlus,karyn,Wed Jul 29 2015 16:53:10 GMT-0400 (Eastern Daylight Time),icsfy_100
65,153,Plus,karyn,Wed Jul 29 2015 16:53:12 GMT-0400 (Eastern Daylight Time),icsfy_100
66,197,Normal,karyn,Wed Jul 29 2015 16:53:14 GMT-0400 (Eastern Daylight Time),icsfy_100
67,192,Normal,karyn,Wed Jul 29 2015 16:53:24 GMT-0400 (Eastern Daylight Time),icsfy_100
68,139,Normal,karyn,Wed Jul 29 2015 16:53:57 GMT-0400 (Eastern Daylight Time),icsfy_100
69,193,Plus,karyn,Wed Jul 29 2015 16:54:00 GMT-0400 (Eastern Daylight Time),icsfy_100
7,213,Normal,karyn,Wed Jul 29 2015 16:45:37 GMT-0400 (Eastern Daylight Time),icsfy_100
70,212,PrePlus,karyn,Wed Jul 29 2015 16:54:04 GMT-0400 (Eastern Daylight Time),icsfy_100
71,171,Normal,karyn,Wed Jul 29 2015 16:54:06 GMT-0400 (Eastern Daylight Time),icsfy_100
72,178,Normal,karyn,Wed Jul 29 2015 16:54:07 GMT-0400 (Eastern Daylight Time),icsfy_100
73,127,Plus,karyn,Wed Jul 29 2015 16:54:14 GMT-0400 (Eastern Daylight Time),icsfy_100
74,191,Plus,karyn,Wed Jul 29 2015 16:54:16 GMT-0400 (Eastern Daylight Time),icsfy_100
75,200,Plus,karyn,Wed Jul 29 2015 16:54:19 GMT-0400 (Eastern Daylight Time),icsfy_100
76,125,PrePlus,karyn,Wed Jul 29 2015 16:54:23 GMT-0400 (Eastern Daylight Time),icsfy_100
77,185,Normal,karyn,Wed Jul 29 2015 16:54:25 GMT-0400 (Eastern Daylight Time),icsfy_100
78,190,Normal,karyn,Wed Jul 29 2015 16:54:26 GMT-0400 (Eastern Daylight Time),icsfy_100
79,210,PrePlus,karyn,Wed Jul 29 2015 16:54:29 GMT-0400 (Eastern Daylight Time),icsfy_100
8,139,Normal,karyn,Wed Jul 29 2015 16:45:39 GMT-0400 (Eastern Daylight Time),icsfy_100
80,129,Normal,karyn,Wed Jul 29 2015 16:54:31 GMT-0400 (Eastern Daylight Time),icsfy_100
81,160,Normal,karyn,Wed Jul 29 2015 16:54:33 GMT-0400 (Eastern Daylight Time),icsfy_100
82,141,Plus,karyn,Wed Jul 29 2015 16:54:35 GMT-0400 (Eastern Daylight Time),icsfy_100
83,140,PrePlus,karyn,Wed Jul 29 2015 16:54:43 GMT-0400 (Eastern Daylight Time),icsfy_100
84,146,Normal,karyn,Wed Jul 29 2015 16:54:45 GMT-0400 (Eastern Daylight Time),icsfy_100
85,128,Normal,karyn,Wed Jul 29 2015 16:54:47 GMT-0400 (Eastern Daylight Time),icsfy_100
86,170,Normal,karyn,Wed Jul 29 2015 16:54:48 GMT-0400 (Eastern Daylight Time),icsfy_100
87,181,Plus,karyn,Wed Jul 29 2015 16:54:51 GMT-0400 (Eastern Daylight Time),icsfy_100
88,159,PrePlus,karyn,Wed Jul 29 2015 16:54:55 GMT-0400 (Eastern Daylight Time),icsfy_100
89,161,Normal,karyn,Wed Jul 29 2015 16:54:57 GMT-0400 (Eastern Daylight Time),icsfy_100
9,174,Normal,karyn,Wed Jul 29 2015 16:45:40 GMT-0400 (Eastern Daylight Time),icsfy_100
90,131,Normal,karyn,Wed Jul 29 2015 16:54:59 GMT-0400 (Eastern Daylight Time),icsfy_100
91,204,Normal,karyn,Wed Jul 29 2015 16:55:01 GMT-0400 (Eastern Daylight Time),icsfy_100
92,145,PrePlus,karyn,Wed Jul 29 2015 16:55:42 GMT-0400 (Eastern Daylight Time),icsfy_100
93,196,Normal,karyn,Wed Jul 29 2015 16:55:44 GMT-0400 (Eastern Daylight Time),icsfy_100
94,148,Normal,karyn,Wed Jul 29 2015 16:55:48 GMT-0400 (Eastern Daylight Time),icsfy_100
