task_id,image0,image1,winner,user
0,169,198,1,karyn
1,129,134,0,karyn
10,179,184,0,karyn
100,161,195,1,karyn
1000,156,179,1,karyn
1001,122,213,1,karyn
1002,150,202,1,karyn
1003,175,124,1,karyn
1004,213,220,0,karyn
1005,166,173,0,karyn
1006,125,180,0,karyn
1007,134,181,0,karyn
1008,178,196,0,karyn
1009,188,195,0,karyn
101,184,188,1,karyn
1010,177,146,0,karyn
1011,155,190,1,karyn
1012,190,203,0,karyn
1013,160,216,0,karyn
1014,211,213,1,karyn
1015,159,181,0,karyn
1016,144,193,0,karyn
1017,136,205,0,karyn
1018,125,137,1,karyn
1019,166,219,0,karyn
102,150,216,0,karyn
1020,170,179,1,karyn
1021,131,171,1,karyn
1022,184,211,0,karyn
1023,129,121,0,karyn
1024,130,129,1,karyn
1025,158,185,1,karyn
1026,161,217,0,karyn
1027,156,194,0,karyn
1028,134,168,1,karyn
1029,130,163,1,karyn
103,142,163,1,karyn
1030,187,206,1,karyn
1031,125,169,1,karyn
1032,183,206,0,karyn
1033,200,210,1,karyn
1034,129,201,0,karyn
1035,166,220,0,karyn
1036,125,195,1,karyn
1037,200,208,1,karyn
1038,143,196,1,karyn
1039,162,167,1,karyn
104,135,162,0,karyn
1040,160,162,0,karyn
1041,190,219,0,karyn
1042,164,121,0,karyn
1043,127,198,1,karyn
1044,183,212,0,karyn
1045,144,177,0,karyn
1046,164,194,1,karyn
1047,183,187,0,karyn
1048,130,172,1,karyn
1049,146,169,1,karyn
105,156,170,1,karyn
1050,134,146,1,karyn
1051,196,162,0,karyn
1052,152,214,0,karyn
1053,183,209,1,karyn
1054,160,212,0,karyn
1055,144,149,0,karyn
1056,203,205,1,karyn
1057,174,199,0,karyn
1058,185,220,0,karyn
1059,148,183,1,karyn
106,220,144,1,karyn
1060,130,141,0,karyn
1061,135,197,0,karyn
1062,141,196,1,karyn
1063,176,194,0,karyn
1064,206,124,1,karyn
1065,159,145,1,karyn
1066,174,191,0,karyn
1067,215,175,0,karyn
1068,144,147,0,karyn
1069,148,159,0,karyn
107,172,179,1,karyn
1070,167,210,0,karyn
1071,189,196,1,karyn
1072,207,123,1,karyn
1073,169,189,1,karyn
1074,211,214,0,karyn
1075,174,187,0,karyn
1076,204,214,0,karyn
1077,171,204,1,karyn
1078,139,156,1,karyn
1079,139,199,0,karyn
108,165,173,1,karyn
1080,185,170,0,karyn
1081,157,160,1,karyn
1082,198,218,0,karyn
1083,129,139,1,karyn
1084,137,169,1,karyn
1085,172,203,0,karyn
1086,124,179,1,karyn
1087,176,202,1,karyn
1088,122,152,1,karyn
1089,163,131,1,karyn
109,207,185,1,karyn
1090,177,169,1,karyn
1091,183,218,0,karyn
1092,140,185,1,karyn
1093,180,183,1,karyn
1094,167,219,1,karyn
1095,121,150,0,karyn
1096,121,199,0,karyn
1097,168,211,0,karyn
1098,176,148,0,karyn
1099,150,214,0,karyn
11,183,204,1,karyn
110,190,209,1,karyn
1100,147,139,1,karyn
1101,171,197,1,karyn
1102,172,178,1,karyn
1103,123,175,1,karyn
1104,172,191,0,karyn
1105,143,173,1,karyn
1106,183,182,0,karyn
1107,187,164,1,karyn
1108,167,201,1,karyn
1109,121,133,1,karyn
111,123,160,1,karyn
1110,127,218,1,karyn
1111,139,207,0,karyn
1112,186,195,1,karyn
1113,154,197,1,karyn
1114,136,176,1,karyn
1115,131,172,0,karyn
1116,127,138,1,karyn
1117,122,195,1,karyn
1118,142,194,1,karyn
1119,205,215,0,karyn
112,213,156,1,karyn
1120,159,192,1,karyn
1121,165,200,1,karyn
1122,207,131,1,karyn
1123,122,149,0,karyn
1124,143,168,1,karyn
1125,135,208,0,karyn
1126,168,208,1,karyn
1127,219,158,0,karyn
1128,150,144,0,karyn
1129,137,190,1,karyn
113,140,187,0,karyn
1130,134,201,1,karyn
1131,175,198,1,karyn
1132,147,166,1,karyn
1133,197,164,0,karyn
1134,134,207,0,karyn
1135,154,174,1,karyn
1136,165,175,1,karyn
1137,192,220,0,karyn
1138,146,156,0,karyn
1139,149,177,1,karyn
114,137,207,0,karyn
1140,135,172,0,karyn
1141,129,195,1,karyn
1142,148,194,1,karyn
1143,162,215,1,karyn
1144,143,214,1,karyn
1145,148,182,0,karyn
1146,160,197,1,karyn
1147,125,199,0,karyn
1148,159,161,1,karyn
1149,138,217,0,karyn
115,167,218,0,karyn
1150,130,185,1,karyn
1151,166,202,0,karyn
1152,141,210,1,karyn
1153,150,154,1,karyn
1154,143,122,1,karyn
1155,152,169,1,karyn
1156,176,215,0,karyn
1157,175,187,0,karyn
1158,171,158,0,karyn
1159,166,142,0,karyn
116,139,186,0,karyn
1160,130,137,1,karyn
1161,207,159,1,karyn
1162,136,193,0,karyn
1163,172,187,0,karyn
1164,133,220,0,karyn
1165,153,219,1,karyn
1166,131,207,0,karyn
1167,144,126,0,karyn
1168,121,168,0,karyn
1169,177,187,0,karyn
117,201,207,0,karyn
1170,187,195,1,karyn
1171,179,214,0,karyn
1172,167,196,1,karyn
1173,136,151,1,karyn
1174,165,209,1,karyn
1175,127,196,1,karyn
1176,128,133,0,karyn
1177,167,208,1,karyn
1178,202,146,0,karyn
1179,136,146,1,karyn
118,159,150,1,karyn
1180,150,200,0,karyn
1181,156,190,0,karyn
1182,162,206,1,karyn
1183,174,217,1,karyn
1184,215,139,1,karyn
1185,157,159,0,karyn
1186,156,207,0,karyn
1187,201,122,0,karyn
1188,147,152,1,karyn
1189,173,167,1,karyn
119,202,203,0,karyn
1190,172,185,1,karyn
1191,163,187,0,karyn
1192,139,150,0,karyn
1193,174,179,1,karyn
1194,132,202,1,karyn
1195,185,216,0,karyn
1196,138,186,0,karyn
1197,143,177,1,karyn
1198,172,133,1,karyn
1199,138,170,0,karyn
12,195,202,1,karyn
120,205,216,0,karyn
1200,155,195,0,karyn
1201,131,211,0,karyn
1202,200,218,0,karyn
1203,134,204,1,karyn
1204,142,185,1,karyn
1205,122,209,1,karyn
1206,208,215,0,karyn
1207,182,161,1,karyn
1208,181,201,1,karyn
1209,182,134,1,karyn
121,155,157,0,karyn
1210,146,171,1,karyn
1211,134,186,0,karyn
1212,129,141,0,karyn
1213,154,193,0,karyn
1214,133,145,0,karyn
1215,193,219,1,karyn
1216,152,131,1,karyn
1217,159,189,1,karyn
1218,137,159,0,karyn
1219,138,150,0,karyn
122,206,132,1,karyn
1220,136,206,0,karyn
1221,152,157,0,karyn
1222,121,183,1,karyn
1223,123,148,1,karyn
1224,137,144,1,karyn
1225,128,175,0,karyn
1226,130,167,1,karyn
