Origin,imageId,mikeS,mikeR,kelly,mike,paul,kim,phil,jim
24-second-OS-temporal.bmp,187,3,3,3,3,3,3,3,3
8_Full.JPG,149,3,3,3,3,3,3,3,3
21_Full.bmp,216,3,3,2,3,3,3,3,3
RCOL-0024-second-OS-posterior.bmp,181,3,3,3,3,3,3,3,3
ohsu-0054-5-os.bmp,142,2,3,2,3,3,3,3,3
24_Full.bmp,191,3,3,2,3,3,3,3,3
ohsu-0058-hv-5-OD-posterior2.bmp,214,2,3,3,3,3,3,3,3
RCOL-0024-second-OD-posterior.bmp,127,3,3,2,3,3,3,3,3
miam-0014-3-os.BMP,200,2,3,2,3,3,3,3,3
ohsu-0058-5-OD-posterior.bmp,186,2,3,3,3,3,3,3,3
ohsu-0058-hv-5-OS-posterior2.bmp,180,2,2,3,3,3,3,3,3
30_Full.bmp,141,1,3,2,3,3,3,3,3
4_Full.JPG,182,2,2,2,3,3,3,3,3
33_Full.JPG,130,2,2,3,2,3,3,3,3
rcor-0005-1-os.bmp,199,2,3,2,3,3,3,3,3
5_Full.JPG,211,2,2,3,3,3,3,3,3
ohsu-0049-nv-14-OS-posterior2.bmp,143,2,2,3,3,2,3,3,3
ohsu-0054-4-os.bmp,218,2,2,2,2,2,3,3,2
13_Full.JPG,153,2,2,2,3,2,3,3,3
corn-0025-2-os.bmp,172,1,2,1,3,3,2,3,2
ohsu-0124-6-OS-posterior.bmp,210,2,2,2,3,2,2,3,2
beau-0008-1-OS-posterior.bmp,165,2,2,2,3,2,2,2,2
miam-0012-2-od.BMP,159,2,2,2,2,2,3,3,3
ohsu-0070-7-OS-posterior.bmp,203,1,1,2,2,2,2,2,3
corn-0018-3-od-posterior.bmp,126,1,2,2,2,3,3,2,3
corn-0018-3-os-posterior.bmp,145,2,2,2,3,3,3,3,3
32_Full.JPG,122,2,2,1,2,2,2,2,3
ohsu-0057-5-os.bmp,140,1,2,2,2,2,3,2,2
miam-0018-5-od.BMP,207,2,2,2,2,3,3,3,3
ohsu-0049-12-od.bmp,193,2,1,2,2,2,2,3,2
ohsu-0002-3-os-posterior2.bmp,163,2,1,2,2,2,2,3,2
ohsu-0124-6-OD-posterior.bmp,137,1,1,1,2,2,2,2,2
ohsu-001-gb-6th session-OD-posterior1.bmp,162,2,2,3,2,2,2,3,2
ohsu-0034-8-od-posterior2.bmp,220,2,2,2,2,2,2,3,3
ohsu-0044-5-OS-posterior2.bmp,206,1,1,2,2,2,2,2,2
ohsu-0002-2-od-posterior2.bmp,134,1,1,2,2,2,2,2,2
miam-0018-4-os.BMP,123,2,2,1,2,2,2,2,2
ohsu-0085-2-OD-posterior.bmp,158,1,2,1,2,2,2,2,2
ohsu-0049-10-os.bmp,132,2,1,3,2,2,2,3,2
ohsu-0135-7-OS-posterior.bmp,148,2,1,1,2,2,2,2,2
beau-0061-4-OS-posterior.bmp,167,2,1,1,2,2,2,2,2
ohsu-0123-4-OS-posterior.bmp,147,1,1,1,1,2,2,2,2
miam-0011-2-od.BMP,212,2,1,2,2,2,2,2,2
ohsu-0084-7-OS-posterior.bmp,157,2,1,2,2,2,2,2,2
ohsu-0001-6-os-posterior2.bmp,125,2,1,1,2,2,2,2,2
ohsu-0104-8-OS-posterior.bmp,168,1,1,1,2,2,2,2,2
ohsu-0001-4-od-posterior2.bmp,173,2,1,1,2,2,2,2,2
ohsu-0039-xm-2nd-OS-posterior.bmp,177,1,1,1,1,1,1,1,1
ohsu-0020-gl-5th-OD-posterior.bmp,150,1,1,1,1,1,2,1,1
ohsu-0039-xm-1st-OD-posterior.bmp,129,1,1,1,1,1,2,2,2
ohsu-0046-vv-2nd-OD-posterior.bmp,121,1,1,1,1,1,1,1,2
ohsu-0043-aw-6th-OS-posterior.bmp,174,1,1,1,1,2,2,1,1
ohsu-0041-am-1st-OD-posterior.bmp,217,1,1,1,1,1,1,2,1
ohsu-0010-cm-3rd session-OD-posterior2.bmp,215,1,1,1,1,1,1,1,1
ohsu-0041-am-1st-OS-posterior.bmp,201,1,1,1,1,1,1,2,1
ohsu-0040-tm-1st-OD-posterior.bmp,161,1,1,1,1,1,2,1,1
ohsu-0021-cl-2nd-OD-posterior.bmp,171,1,1,1,1,2,2,2,2
