taskID,imageId,imageName,mikeS,mikeR,kelly,mike,paul,kim,phil,jim
10,254,11.jpg,3,3,3,3,3,3,3,3
20,250,8.jpg,3,3,3,3,3,3,3,3
0,273,6.jpg,2,3,3,3,3,3,3,3
25,258,35.jpg,2,3,3,3,3,3,3,3
15,251,31.jpg,3,3,2,3,3,3,3,3
29,261,3.jpg,3,3,2,3,3,3,3,3
32,252,16.jpg,3,3,2,3,3,3,3,3
21,274,29.jpg,2,3,3,3,3,3,3,3
4,246,21.jpg,2,3,2,3,3,3,3,3
31,263,34.jpg,2,3,2,3,3,3,3,3
28,278,24.jpg,3,3,1,3,3,3,3,3
40,249,27.jpg,2,2,2,3,3,3,3,3
3,276,23.jpg,2,2,2,3,3,3,3,3
24,271,14.jpg,2,2,2,3,3,3,3,3
33,262,18.jpg,2,2,1,3,3,3,3,3
8,265,5.jpg,1,2,2,3,3,3,3,3
13,259,4.jpg,2,2,2,3,3,3,3,2
38,272,2.jpg,1,2,2,3,3,3,3,3
19,270,33.jpg,1,1,2,2,2,3,3,3
17,269,30.jpg,1,2,2,3,3,3,3,3
1,277,7.jpg,2,2,2,2,3,3,3,3
5,255,1.jpg,2,1,2,3,2,3,3,3
16,267,13.jpg,2,2,2,2,2,2,3,3
9,257,19.jpg,1,2,2,3,3,3,3,3
6,260,26.jpg,1,2,2,2,3,3,3,3
26,248,15.jpg,2,2,1,2,2,2,3,2
23,279,17.jpg,1,2,2,2,3,2,3,3
12,247,9.jpg,1,2,2,2,3,2,3,3
7,268,22.jpg,1,2,2,2,2,2,2,3
2,256,32.jpg,1,2,1,2,2,2,2,3
27,264,20.jpg,1,1,1,2,2,2,3,2
39,275,28.jpg,1,1,1,2,2,2,2,2
11,266,25.jpg,1,1,2,2,2,2,3,2
14,253,10.jpg,1,1,1,1,2,2,2,2
