imageName,imageId,mikeS,mikeR,kelly,mike,paul,jim,averageRating,rank,EloAll,rankElo,mode_all,mode_MPS,oldMode,RSD,oldAverage,average_15,rank_15
11,254,3,3,3,3,3,3,3,33,2657.43126,32,3,3,3,3,3,3,33
8,250,3,3,3,3,3,3,3,33,2759.899683,34,3,3,3,3,2.954545455,3,33
6,273,2,3,3,3,3,3,2.833333333,27,2594.619156,30,3,3,3,3,3,2.933333333,27
35,258,2,3,3,3,3,3,2.833333333,27,2734.521048,33,3,3,3,3,3,2.933333333,27
31,251,3,3,2,3,3,3,2.833333333,27,2588.333242,29,3,3,3,3,2.863636364,2.933333333,27
3,261,3,3,2,3,3,3,2.833333333,27,2496.788256,25,3,3,3,3,2.818181818,2.933333333,27
16,252,3,3,2,3,3,3,2.833333333,27,2517.052136,27,3,3,3,3,2.727272727,2.933333333,27
29,274,2,3,3,3,3,3,2.833333333,27,2510.753789,26,3,3,3,3,2.636363636,2.933333333,27
21,246,2,3,2,3,3,3,2.666666667,24,2525.478464,28,3,3,3,3,3,2.866666667,24
34,263,2,3,2,3,3,3,2.666666667,24,2446.044162,22,3,3,3,3,2.772727273,2.866666667,24
24,278,3,3,1,3,3,3,2.666666667,24,2463.867118,23,3,3,3,3,2.772727273,2.866666667,24
27,249,2,2,2,3,3,3,2.5,21,2614.979545,31,3,3,3,3,2.727272727,2.8,22
23,276,2,2,2,3,3,3,2.5,21,2354.117589,20,3,3,3,3,2.590909091,2.8,22
14,271,2,2,2,3,3,3,2.5,21,2480.089571,24,3,3,2,3,2.318181818,2.733333333,21
18,262,2,2,1,3,3,3,2.333333333,14,2379.148985,21,3,3,2,3,2.363636364,2.666666667,20
5,265,1,2,2,3,3,3,2.333333333,14,1992.619046,10,3,3,1,3,1.818181818,2.6,19
4,259,2,2,2,3,3,2,2.333333333,14,2185.481353,18,3,3,2,3,2.136363636,2.533333333,17
2,272,1,2,2,3,3,3,2.333333333,14,2215.156591,19,3,3,2,3,1.954545455,2.533333333,17
33,270,1,1,2,2,2,3,1.833333333,5,1889.715171,6,3,2,2,2,1.909090909,2.466666667,14
30,269,1,2,2,3,3,3,2.333333333,14,2105.522315,17,3,3,2,2,1.909090909,2.466666667,14
7,277,2,2,2,2,3,3,2.333333333,14,1968.929944,9,2,2,1,2,1.5,2.466666667,14
1,255,2,1,2,3,2,3,2.166666667,9,1911.612905,8,3,2,2,3,1.954545455,2.4,11
13,267,2,2,2,2,2,3,2.166666667,9,1993.353749,11,2,2,2,2,1.590909091,2.4,11
19,257,1,2,2,3,3,3,2.333333333,14,2071.325716,15,3,3,1,3,1.545454545,2.4,11
26,260,1,2,2,2,3,3,2.166666667,9,1890.342848,7,2,2,1,2,1.727272727,2.333333333,10
15,248,2,2,1,2,2,2,1.833333333,5,2014.285514,13,2,2,2,2,1.818181818,2.266666667,8
17,279,1,2,2,2,3,3,2.166666667,9,2033.56643,14,2,2,2,2,1.681818182,2.266666667,8
9,247,1,2,2,2,3,3,2.166666667,9,2085.551491,16,2,2,1,2,1.545454545,2.2,7
22,268,1,2,2,2,2,3,2,8,1629.483694,3,2,2,1,2,1.5,2.066666667,6
32,256,1,2,1,2,2,3,1.833333333,5,1996.508228,12,2,2,1,2,1.454545455,2,5
20,264,1,1,1,2,2,2,1.5,2,1813.41651,5,2,2,2,2,1.954545455,1.933333333,4
28,275,1,1,1,2,2,2,1.5,2,1702.989179,4,2,2,1,2,1.454545455,1.8,3
25,266,1,1,2,2,2,2,1.666666667,4,1554.737154,1,2,2,1,1,1.227272727,1.733333333,2
10,253,1,1,1,1,2,2,1.333333333,1,1622.278159,2,2,1,1,2,1,1.533333333,1
