imageID,maria,jim,phil,kim,pete,jason,paul,mike,karyn,susan,kelly,mikeR,mikeS
187,3,3,3,3,3,3,3,3,3,3,3,3,3
149,3,3,3,3,3,3,3,3,3,3,3,3,3
181,3,3,3,3,3,3,3,3,3,3,3,3,3
216,3,3,3,3,3,3,3,3,3,3,2,3,3
191,3,3,3,3,3,3,3,3,3,3,2,3,3
186,3,3,3,3,3,3,3,3,3,3,3,3,2
214,3,3,3,3,3,3,3,3,3,3,3,3,2
214,3,3,3,3,3,3,3,3,3,3,3,3,2
127,3,3,3,3,3,3,3,3,3,3,2,3,3
200,3,3,3,3,3,3,3,3,3,3,2,3,2
180,3,3,3,3,3,3,3,3,3,3,3,2,2
180,3,3,3,3,3,3,3,3,3,3,2,3,2
130,3,3,3,3,3,3,3,2,3,3,3,2,2
199,3,3,3,3,3,3,3,3,3,2,2,3,2
141,3,3,3,3,3,3,3,3,3,2,2,3,1
182,3,3,3,3,3,3,3,3,3,2,2,2,2
211,3,3,3,3,3,2,3,3,3,2,3,2,2
142,3,3,3,3,3,2,3,3,3,2,2,3,2
153,3,3,3,3,3,3,2,3,3,2,2,2,2
207,3,3,3,3,3,3,3,2,3,2,2,2,2
143,3,3,3,3,2,3,2,3,2,3,3,2,2
142,3,3,3,3,3,3,1,3,2,2,2,2,2
159,3,3,3,3,3,2,2,2,2,2,2,2,2
210,3,2,3,2,3,3,2,3,2,2,2,2,2
159,3,2,3,3,3,2,2,2,2,2,2,2,2
162,3,2,3,2,2,3,2,2,2,2,3,2,2
193,3,2,3,2,3,3,2,2,3,2,2,1,2
218,2,2,3,3,3,2,2,2,3,2,2,2,2
145,1,3,3,3,2,1,3,3,2,2,2,2,2
126,3,3,2,3,2,2,3,2,1,2,2,2,1
172,3,2,3,2,3,1,3,3,2,2,1,2,1
132,3,2,3,2,2,2,2,2,2,2,3,1,2
132,3,2,3,2,2,2,2,2,2,2,2,2,2
158,3,2,2,2,3,3,2,2,3,2,1,2,1
122,2,3,2,2,3,3,2,2,2,2,1,2,2
