imageID,jim,phil,kim,paul,mike,kelly,mikeR,mikeS
187,3,3,3,3,3,3,3,3
149,3,3,3,3,3,3,3,3
181,3,3,3,3,3,3,3,3
216,3,3,3,3,3,2,3,3
191,3,3,3,3,3,2,3,3
186,3,3,3,3,3,3,3,2
214,3,3,3,3,3,3,3,2
214,3,3,3,3,3,3,3,2
127,3,3,3,3,3,2,3,3
200,3,3,3,3,3,2,3,2
180,3,3,3,3,3,3,2,2
180,3,3,3,3,3,2,3,2
130,3,3,3,3,2,3,2,2
199,3,3,3,3,3,2,3,2
141,3,3,3,3,3,2,3,1
182,3,3,3,3,3,2,2,2
211,3,3,3,3,3,3,2,2
142,3,3,3,3,3,2,3,2
153,3,3,3,2,3,2,2,2
207,3,3,3,3,2,2,2,2
143,3,3,3,2,3,3,2,2
142,3,3,3,1,3,2,2,2
159,3,3,3,2,2,2,2,2
210,2,3,2,2,3,2,2,2
159,2,3,3,2,2,2,2,2
162,2,3,2,2,2,3,2,2
193,2,3,2,2,2,2,1,2
218,2,3,3,2,2,2,2,2
145,3,3,3,3,3,2,2,2
126,3,2,3,3,2,2,2,1
172,2,3,2,3,3,1,2,1
132,2,3,2,2,2,3,1,2
132,2,3,2,2,2,2,2,2
158,2,2,2,2,2,1,2,1
122,3,2,2,2,2,1,2,2
220,3,3,2,2,2,2,2,2
212,2,2,2,2,2,2,1,2
123,2,2,2,2,2,1,2,2
123,3,1,2,2,2,1,2,2
140,2,2,3,2,2,2,2,1
165,2,2,2,2,3,2,2,2
134,2,2,2,2,2,2,1,1
203,3,2,2,2,2,2,1,1
163,2,3,2,2,2,2,1,2
167,2,2,2,2,2,1,1,2
125,2,2,2,2,2,1,1,2
137,2,2,2,2,2,1,1,1
173,2,3,2,2,2,1,1,2
206,2,2,2,2,2,2,1,1
173,2,2,2,2,2,1,1,2
157,2,2,2,2,2,2,1,2
168,2,2,2,2,2,1,1,1
148,2,2,2,2,2,1,1,2
147,2,2,2,2,1,1,1,1
174,2,2,2,2,1,1,1,1
170,2,2,2,1,1,1,1,1
171,2,2,2,2,1,1,1,1
129,2,2,2,1,1,1,1,1
215,1,1,1,1,1,1,1,1
196,1,1,1,1,1,1,1,1
150,1,1,2,1,1,1,1,1
169,2,1,1,1,1,1,1,1
129,2,1,2,1,1,1,1,1
174,1,1,2,2,1,1,1,1
146,2,1,1,1,1,1,1,1
170,1,1,1,1,1,1,1,1
164,2,1,1,1,1,1,1,1
185,2,1,1,1,1,1,1,1
185,2,1,1,1,1,1,1,1
184,2,1,1,1,1,1,1,1
194,1,2,1,1,1,1,1,1
161,1,1,2,1,1,1,1,1
217,1,2,1,1,1,1,1,1
201,1,2,1,1,1,1,1,1
121,2,1,1,1,1,1,1,1
155,2,1,1,1,1,1,1,1
155,2,1,1,1,1,1,1,1
154,2,1,1,1,1,1,1,1
176,2,1,1,1,1,1,1,1
195,1,2,1,1,1,1,1,1
188,2,1,1,1,1,1,1,1
144,1,2,1,1,1,1,1,1
166,1,1,2,1,1,1,1,1
152,1,1,1,1,1,1,1,1
152,1,1,1,1,1,1,1,1
175,1,1,1,1,1,1,1,1
136,1,1,1,1,1,1,1,1
196,1,1,1,1,1,1,1,1
160,1,1,1,1,1,1,1,1
151,1,1,1,1,1,1,1,1
124,1,1,1,1,1,1,1,1
128,1,1,1,1,1,1,1,1
194,1,1,1,1,1,1,1,1
133,1,1,1,1,1,1,1,1
219,1,1,1,1,1,1,1,1
139,1,1,1,1,1,1,1,1
139,1,1,1,1,1,1,1,1
177,1,1,1,1,1,1,1,1
161,1,1,1,1,1,1,1,1
190,1,1,1,1,1,1,1,1
202,1,1,1,1,1,1,1,1
192,1,1,1,1,1,1,1,1
131,1,1,1,1,1,1,1,1
176,1,1,1,1,1,1,1,1
205,1,1,1,1,1,1,1,1
213,1,1,1,1,1,1,1,1
135,1,1,1,1,1,1,1,1
179,1,1,1,1,1,1,1,1
178,1,1,1,1,1,1,1,1
178,1,1,1,1,1,1,1,1
189,1,1,1,1,1,1,1,1
156,1,1,1,1,1,1,1,1
197,1,1,1,1,1,1,1,1
208,1,1,1,1,1,1,1,1
204,1,1,1,1,1,1,1,1
209,1,1,1,1,1,1,1,1
138,1,1,1,1,1,1,1,1
183,1,1,1,1,1,1,1,1
183,1,1,1,1,1,1,1,1
198,1,1,1,1,1,1,1,1
