imageID,jim,phil,kim,paul,mike,kelly,mikeR,mikeS
121,2,1,1,1,1,1,1,1
122,3,2,2,2,2,1,2,2
123,2,2,2,2,2,1,2,2
124,1,1,1,1,1,1,1,1
125,2,2,2,2,2,1,1,2
126,3,2,3,3,2,2,2,1
127,3,3,3,3,3,2,3,3
128,1,1,1,1,1,1,1,1
129,2,2,2,1,1,1,1,1
130,3,3,3,3,2,3,2,2
131,1,1,1,1,1,1,1,1
132,2,3,2,2,2,2,2,2
133,1,1,1,1,1,1,1,1
134,2,2,2,2,2,2,1,1
135,1,1,1,1,1,1,1,1
136,1,1,1,1,1,1,1,1
137,2,2,2,2,2,1,1,1
138,1,1,1,1,1,1,1,1
139,1,1,1,1,1,1,1,1
140,2,2,3,2,2,2,2,1
141,3,3,3,3,3,2,3,1
142,3,3,3,3,3,2,3,2
143,3,3,3,2,3,3,2,2
144,1,2,1,1,1,1,1,1
145,3,3,3,3,3,2,2,2
146,2,1,1,1,1,1,1,1
147,2,2,2,2,1,1,1,1
148,2,2,2,2,2,1,1,2
149,3,3,3,3,3,3,3,3
150,1,1,2,1,1,1,1,1
151,1,1,1,1,1,1,1,1
152,1,1,1,1,1,1,1,1
153,3,3,3,2,3,2,2,2
154,2,1,1,1,1,1,1,1
155,2,1,1,1,1,1,1,1
156,1,1,1,1,1,1,1,1
157,2,2,2,2,2,2,1,2
158,2,2,2,2,2,1,2,1
159,3,3,3,2,2,2,2,2
160,1,1,1,1,1,1,1,1
161,1,1,1,1,1,1,1,1
162,2,3,2,2,2,3,2,2
163,2,3,2,2,2,2,1,2
164,2,1,1,1,1,1,1,1
165,2,2,2,2,3,2,2,2
166,1,1,2,1,1,1,1,1
167,2,2,2,2,2,1,1,2
168,2,2,2,2,2,1,1,1
169,2,1,1,1,1,1,1,1
170,2,2,2,1,1,1,1,1
171,2,2,2,2,1,1,1,1
172,2,3,2,3,3,1,2,1
173,2,2,2,2,2,1,1,2
174,2,2,2,2,1,1,1,1
175,1,1,1,1,1,1,1,1
176,2,1,1,1,1,1,1,1
177,1,1,1,1,1,1,1,1
178,1,1,1,1,1,1,1,1
179,1,1,1,1,1,1,1,1
180,3,3,3,3,3,3,2,2
181,3,3,3,3,3,3,3,3
182,3,3,3,3,3,2,2,2
183,1,1,1,1,1,1,1,1
184,2,1,1,1,1,1,1,1
185,2,1,1,1,1,1,1,1
186,3,3,3,3,3,3,3,2
187,3,3,3,3,3,3,3,3
188,2,1,1,1,1,1,1,1
189,1,1,1,1,1,1,1,1
190,1,1,1,1,1,1,1,1
191,3,3,3,3,3,2,3,3
192,1,1,1,1,1,1,1,1
193,2,3,2,2,2,2,1,2
194,1,2,1,1,1,1,1,1
195,1,2,1,1,1,1,1,1
196,1,1,1,1,1,1,1,1
197,1,1,1,1,1,1,1,1
198,1,1,1,1,1,1,1,1
199,3,3,3,3,3,2,3,2
200,3,3,3,3,3,2,3,2
201,1,2,1,1,1,1,1,1
202,1,1,1,1,1,1,1,1
203,3,2,2,2,2,2,1,1
204,1,1,1,1,1,1,1,1
205,1,1,1,1,1,1,1,1
206,2,2,2,2,2,2,1,1
207,3,3,3,3,2,2,2,2
208,1,1,1,1,1,1,1,1
209,1,1,1,1,1,1,1,1
210,2,3,2,2,3,2,2,2
211,3,3,3,3,3,3,2,2
212,2,2,2,2,2,2,1,2
213,1,1,1,1,1,1,1,1
214,3,3,3,3,3,3,3,2
215,1,1,1,1,1,1,1,1
216,3,3,3,3,3,2,3,3
217,1,2,1,1,1,1,1,1
218,2,3,3,2,2,2,2,2
219,1,1,1,1,1,1,1,1
220,3,3,2,2,2,2,2,2
