task_id,image,diagnosis,user,date,icl
0,165,PrePlus,jason,Sun Aug 30 2015 12:06:38 GMT-0400 (EDT),icsfy_100
1,194,Normal,jason,Sun Aug 30 2015 12:06:58 GMT-0400 (EDT),icsfy_100
10,206,PrePlus,jason,Sun Aug 30 2015 12:11:18 GMT-0400 (EDT),icsfy_100
100,124,Normal,jason,Sun Aug 30 2015 12:51:50 GMT-0400 (EDT),icsfy_100
101,203,PrePlus,jason,Sun Aug 30 2015 12:52:16 GMT-0400 (EDT),icsfy_100
102,158,Plus,jason,Sun Aug 30 2015 12:52:42 GMT-0400 (EDT),icsfy_100
103,122,Plus,jason,Sun Aug 30 2015 12:52:51 GMT-0400 (EDT),icsfy_100
104,123,Plus,jason,Sun Aug 30 2015 12:53:15 GMT-0400 (EDT),icsfy_100
105,166,Normal,jason,Sun Aug 30 2015 12:53:33 GMT-0400 (EDT),icsfy_100
106,178,Normal,jason,Sun Aug 30 2015 12:53:36 GMT-0400 (EDT),icsfy_100
107,161,Normal,jason,Sun Aug 30 2015 12:53:38 GMT-0400 (EDT),icsfy_100
108,150,Normal,jason,Sun Aug 30 2015 12:54:02 GMT-0400 (EDT),icsfy_100
109,123,Plus,jason,Sun Aug 30 2015 12:54:09 GMT-0400 (EDT),icsfy_100
11,162,Plus,jason,Sun Aug 30 2015 12:11:33 GMT-0400 (EDT),icsfy_100
110,180,Plus,jason,Sun Aug 30 2015 12:54:13 GMT-0400 (EDT),icsfy_100
111,167,Plus,jason,Sun Aug 30 2015 12:55:17 GMT-0400 (EDT),icsfy_100
112,144,Normal,jason,Sun Aug 30 2015 12:55:34 GMT-0400 (EDT),icsfy_100
113,154,Normal,jason,Sun Aug 30 2015 12:55:50 GMT-0400 (EDT),icsfy_100
114,184,Normal,jason,Sun Aug 30 2015 12:57:28 GMT-0400 (EDT),icsfy_100
115,168,PrePlus,jason,Sun Aug 30 2015 12:57:49 GMT-0400 (EDT),icsfy_100
116,155,Normal,jason,Sun Aug 30 2015 12:57:53 GMT-0400 (EDT),icsfy_100
117,179,Normal,jason,Sun Aug 30 2015 12:58:11 GMT-0400 (EDT),icsfy_100
118,137,PrePlus,jason,Sun Aug 30 2015 12:59:05 GMT-0400 (EDT),icsfy_100
119,216,Plus,jason,Sun Aug 30 2015 12:59:17 GMT-0400 (EDT),icsfy_100
12,208,Normal,jason,Sun Aug 30 2015 12:11:59 GMT-0400 (EDT),icsfy_100
13,209,Normal,jason,Sun Aug 30 2015 12:12:38 GMT-0400 (EDT),icsfy_100
14,187,Plus,jason,Sun Aug 30 2015 12:12:51 GMT-0400 (EDT),icsfy_100
15,163,PrePlus,jason,Sun Aug 30 2015 12:13:11 GMT-0400 (EDT),icsfy_100
16,182,Plus,jason,Sun Aug 30 2015 12:13:56 GMT-0400 (EDT),icsfy_100
17,134,Plus,jason,Sun Aug 30 2015 12:14:38 GMT-0400 (EDT),icsfy_100
18,132,PrePlus,jason,Sun Aug 30 2015 12:15:40 GMT-0400 (EDT),icsfy_100
19,195,Normal,jason,Sun Aug 30 2015 12:19:06 GMT-0400 (EDT),icsfy_100
2,219,Normal,jason,Sun Aug 30 2015 12:07:16 GMT-0400 (EDT),icsfy_100
20,180,Plus,jason,Sun Aug 30 2015 12:21:56 GMT-0400 (EDT),icsfy_100
21,218,PrePlus,jason,Sun Aug 30 2015 12:25:19 GMT-0400 (EDT),icsfy_100
22,194,Normal,jason,Sun Aug 30 2015 12:26:16 GMT-0400 (EDT),icsfy_100
23,156,Normal,jason,Sun Aug 30 2015 12:27:06 GMT-0400 (EDT),icsfy_100
24,136,Normal,jason,Sun Aug 30 2015 12:27:21 GMT-0400 (EDT),icsfy_100
25,149,Plus,jason,Sun Aug 30 2015 12:27:28 GMT-0400 (EDT),icsfy_100
26,188,Normal,jason,Sun Aug 30 2015 12:27:46 GMT-0400 (EDT),icsfy_100
27,220,PrePlus,jason,Sun Aug 30 2015 12:28:25 GMT-0400 (EDT),icsfy_100
28,151,Normal,jason,Sun Aug 30 2015 12:28:43 GMT-0400 (EDT),icsfy_100
29,211,PrePlus,jason,Sun Aug 30 2015 12:29:25 GMT-0400 (EDT),icsfy_100
3,143,Plus,jason,Sun Aug 30 2015 12:07:33 GMT-0400 (EDT),icsfy_100
30,172,Normal,jason,Sun Aug 30 2015 12:30:21 GMT-0400 (EDT),icsfy_100
31,186,Plus,jason,Sun Aug 30 2015 12:30:46 GMT-0400 (EDT),icsfy_100
32,142,PrePlus,jason,Sun Aug 30 2015 12:31:09 GMT-0400 (EDT),icsfy_100
33,215,Normal,jason,Sun Aug 30 2015 12:31:29 GMT-0400 (EDT),icsfy_100
34,132,PrePlus,jason,Sun Aug 30 2015 12:31:42 GMT-0400 (EDT),icsfy_100
35,169,Normal,jason,Sun Aug 30 2015 12:31:57 GMT-0400 (EDT),icsfy_100
36,147,Normal,jason,Sun Aug 30 2015 12:32:47 GMT-0400 (EDT),icsfy_100
37,176,Normal,jason,Sun Aug 30 2015 12:33:16 GMT-0400 (EDT),icsfy_100
38,173,PrePlus,jason,Sun Aug 30 2015 12:33:59 GMT-0400 (EDT),icsfy_100
39,133,Normal,jason,Sun Aug 30 2015 12:34:17 GMT-0400 (EDT),icsfy_100
4,175,Normal,jason,Sun Aug 30 2015 12:08:55 GMT-0400 (EDT),icsfy_100
40,201,Normal,jason,Sun Aug 30 2015 12:34:31 GMT-0400 (EDT),icsfy_100
41,217,Normal,jason,Sun Aug 30 2015 12:34:46 GMT-0400 (EDT),icsfy_100
42,138,Normal,jason,Sun Aug 30 2015 12:35:02 GMT-0400 (EDT),icsfy_100
43,173,PrePlus,jason,Sun Aug 30 2015 12:35:08 GMT-0400 (EDT),icsfy_100
44,170,Normal,jason,Sun Aug 30 2015 12:35:27 GMT-0400 (EDT),icsfy_100
45,129,Normal,jason,Sun Aug 30 2015 12:35:44 GMT-0400 (EDT),icsfy_100
46,157,PrePlus,jason,Sun Aug 30 2015 12:36:12 GMT-0400 (EDT),icsfy_100
