imageName,imageID,maria,phil,jim,kim,pete,paul,jason,mike,karyn,testuser4,nina,susan,mikeR,kelly,mikeS
11.jpg,11,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
8.jpg,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
6.jpg,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
35.jpg,35,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
31.jpg,31,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
3.jpg,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
16.jpg,16,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
29.jpg,29,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
21.jpg,21,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2
34.jpg,34,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2
24.jpg,24,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3
27.jpg,27,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2
23.jpg,23,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2
14.jpg,14,3,3,3,3,3,3,3,3,3,2,3,3,2,2,2
18.jpg,18,3,3,3,3,3,3,3,3,2,3,3,3,2,1,2
5.jpg,5,3,3,3,3,3,3,3,3,3,2,2,3,2,2,1
4.jpg,4,3,3,2,3,3,3,3,3,2,2,3,2,2,2,2
2.jpg,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1
33.jpg,33,3,3,3,3,3,2,3,2,3,2,3,3,1,2,1
30.jpg,30,3,3,3,3,3,3,2,3,3,2,2,2,2,2,1
7.jpg,7,3,3,3,3,2,3,3,2,2,3,2,2,2,2,2
1.jpg,1,3,3,3,3,3,2,3,3,2,2,2,2,1,2,2
13.jpg,13,3,3,3,2,3,2,3,2,3,2,2,2,2,2,2
19.jpg,19,3,3,3,3,2,3,2,3,3,2,2,2,2,2,1
26.jpg,26,3,3,3,3,2,3,2,2,3,2,2,2,2,2,1
15.jpg,15,3,3,2,2,3,2,3,2,2,2,3,2,2,1,2
17.jpg,17,3,3,3,2,2,3,2,2,2,2,3,2,2,2,1
9.jpg,9,3,3,3,2,2,3,2,2,2,2,2,2,2,2,1
22.jpg,22,3,2,3,2,3,2,2,2,2,2,1,2,2,2,1
32.jpg,32,3,2,3,2,2,2,3,2,2,2,1,2,2,1,1
20.jpg,20,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1
28.jpg,28,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
25.jpg,25,3,3,2,2,2,2,1,2,1,2,1,1,1,2,1
10.jpg,10,2,2,2,2,2,2,2,1,1,2,1,1,1,1,1
