imageName,imageId,phil,jim,kim,paul,mike,mikeR,kelly,mikeS
11,254,3,3,3,3,3,3,3,3
8,250,3,3,3,3,3,3,3,3
6,273,3,3,3,3,3,3,3,2
35,258,3,3,3,3,3,3,3,2
31,251,3,3,3,3,3,3,2,3
3,261,3,3,3,3,3,3,2,3
16,252,3,3,3,3,3,3,2,3
29,274,3,3,3,3,3,3,3,2
21,246,3,3,3,3,3,3,2,2
34,263,3,3,3,3,3,3,2,2
24,278,3,3,3,3,3,3,1,3
27,249,3,3,3,3,3,2,2,2
23,276,3,3,3,3,3,2,2,2
14,271,3,3,3,3,3,2,2,2
18,262,3,3,3,3,3,2,1,2
5,265,3,3,3,3,3,2,2,1
4,259,3,2,3,3,3,2,2,2
2,272,3,3,3,3,3,2,2,1
33,270,3,3,3,2,2,1,2,1
30,269,3,3,3,3,3,2,2,1
7,277,3,3,3,3,2,2,2,2
1,255,3,3,3,2,3,1,2,2
13,267,3,3,2,2,2,2,2,2
19,257,3,3,3,3,3,2,2,1
26,260,3,3,3,3,2,2,2,1
15,248,3,2,2,2,2,2,1,2
17,279,3,3,2,3,2,2,2,1
9,247,3,3,2,3,2,2,2,1
22,268,2,3,2,2,2,2,2,1
32,256,2,3,2,2,2,2,1,1
20,264,3,2,2,2,2,1,1,1
28,275,2,2,2,2,2,1,1,1
25,266,3,2,2,2,2,1,2,1
10,253,2,2,2,2,1,1,1,1
