num,imageID,RSD,eloRating,eloRanking,imgName,oldMode,oldAverage,oldRank,newMode,newAverage,newRank,RSD,newRankOrd,imageName,avg_8,avgRank_8
5,254,3,2573,30,11.jpg,3,3,1,3,3,1,3,34,11,3,34
1,250,3,2720,34,8.jpg,3,2.95,4,3,3,2,3,33,8,3,33
6,273,3,2557,29,6.jpg,3,3,3,3,2.93,3,3,32,6,2.875,32
3,258,3,2637,32,35.jpg,3,3,2,3,2.93,4,3,31,35,2.875,31
7,251,3,2556,28,31.jpg,3,2.81,6,3,2.93,5,3,30,31,2.875,30
8,261,3,2523,27,3.jpg,3,2.7,10,3,2.93,6,3,29,3,2.875,29
10,252,3,2449,25,16.jpg,3,2.6,12,3,2.93,7,3,28,16,2.875,28
11,274,3,2431,24,29.jpg,3,2.64,11,3,2.93,8,3,27,29,2.875,27
9,246,3,2486,26,21.jpg,3,2.95,5,3,2.87,9,3,26,21,2.75,26
14,263,3,2287,21,34.jpg,3,2.77,8,3,2.87,10,3,25,34,2.75,25
4,278,3,2610,31,24.jpg,3,2.77,7,3,2.87,11,3,24,24,2.75,24
2,249,3,2653,33,27.jpg,3,2.73,9,3,2.8,12,3,23,27,2.625,23
15,276,3,2285,20,23.jpg,3,2.52,13,3,2.8,13,3,22,23,2.625,22
12,271,3,2403,23,14.jpg,2,2.32,14,3,2.73,14,3,21,14,2.625,21
13,262,3,2388,22,18.jpg,2,2.29,15,3,2.67,15,3,20,18,2.5,20
22,265,3,2055,13,5.jpg,2,1.71,23,3,2.6,16,3,19,5,2.5,19
18,259,3,2108,17,4.jpg,2,2.05,16,3,2.53,17,3,18,4,2.5,18
17,272,3,2145,18,2.jpg,2,1.86,19,3,2.53,18,3,17,2,2.5,17
23,270,2,2043,12,33.jpg,2,1.91,18,3,2.47,19,2,16,33,2.125,8
21,269,2,2057,14,30.jpg,2,1.81,21,3,2.47,20,2,15,30,2.5,16
29,277,2,1865,6,7.jpg,1,1.5,28,2,2.47,21,2,14,7,2.5,15
27,255,3,1940,8,1.jpg,2,1.95,17,3,2.4,22,3,13,1,2.375,13
25,267,2,2017,10,13.jpg,2,1.59,25,2,2.4,23,2,12,13,2.25,11
16,257,3,2196,19,19.jpg,1,1.55,27,3,2.4,24,3,11,19,2.5,14
28,260,2,1933,7,26.jpg,1,1.62,24,2,2.33,25,2,10,26,2.375,12
24,248,2,2035,11,15.jpg,2,1.71,22,2,2.27,26,2,9,15,2,7
19,279,2,2103,16,17.jpg,2,1.57,26,2,2.27,27,2,8,17,2.25,10
20,247,2,2069,15,9.jpg,1,1.43,31,2,2.2,28,2,7,9,2.25,9
33,268,2,1763,2,22.jpg,1,1.38,32,2,2.07,29,2,6,22,2,6
26,256,2,1976,9,32.jpg,1,1.45,30,2,2,30,2,5,32,1.875,5
32,264,2,1771,3,20.jpg,2,1.86,20,2,1.93,31,2,4,20,1.75,3
30,275,2,1784,5,28.jpg,1,1.45,29,2,1.8,32,2,3,28,1.625,2
31,266,1,1780,4,25.jpg,1,1.23,33,2,1.73,33,1,2,25,1.875,4
34,253,2,1602,1,10.jpg,1,1,34,2,1.53,34,2,1,10,1.5,1
