"","Player","Rating","Games","Win","Draw","Loss","Lag"
"1",149,3250.190610003,555,544,0,11,19
"2",216,3180.61467304549,575,552,0,23,5
"3",187,3171.47025505392,585,564,0,21,49
"4",181,3119.54007004761,575,547,0,28,149
"5",191,3078.56260382841,585,548,0,37,5
"6",142,3034.57903486969,615,556,0,59,66
"7",214,3026.1028986197,555,521,0,34,90
"8",127,3014.78455196957,595,539,0,56,86
"9",186,2984.45502925011,570,524,0,46,25
"10",141,2960.36419986896,565,506,0,59,7
"11",200,2942.03671145191,580,506,0,74,6
"12",180,2938.68224093742,580,522,0,58,33
"13",130,2914.27196457055,615,513,0,102,10
"14",182,2909.28682026192,630,548,0,82,8
"15",199,2906.21972663333,595,516,0,79,73
"16",143,2845.29157547715,605,512,0,93,45
"17",211,2803.68212513015,605,517,0,88,13
"18",153,2781.15994778603,550,435,0,115,109
"19",218,2769.73949601367,605,484,0,121,32
"20",165,2751.72673018335,575,466,0,109,9
"21",172,2740.01590426205,600,469,0,131,36
"22",210,2706.5293502205,555,429,0,126,75
"23",145,2666.17674748673,590,452,0,138,57
"24",126,2653.32833876906,610,470,0,140,24
"25",203,2647.74567429101,610,469,0,141,21
"26",140,2617.38444346379,590,431,0,159,24
"27",159,2600.67289090424,615,447,0,168,46
"28",207,2596.65728616902,585,431,0,154,69
"29",122,2593.57918130442,600,401,0,199,12
"30",163,2583.56163631958,605,415,0,190,47
"31",193,2559.79737220323,580,429,0,151,42
"32",162,2548.7792322364,635,461,0,174,72
"33",137,2515.80010178159,605,416,0,189,156
"34",206,2500.06326926142,605,390,0,215,0
"35",134,2496.8797669742,595,409,0,186,65
"36",220,2484.24888717203,580,394,0,186,4
"37",158,2464.4854805286,620,435,0,185,22
"38",123,2442.73417182879,570,352,0,218,108
"39",148,2429.61828401384,565,368,0,197,14
"40",132,2410.38416594584,550,342,0,208,0
"41",167,2319.18754401617,580,331,0,249,56
"42",147,2299.92111491095,620,359,0,261,11
"43",168,2274.20205758785,555,340,0,215,146
"44",157,2273.66687901866,585,307,0,278,186
"45",212,2259.95154566219,610,338,0,272,10
"46",125,2252.37806380239,590,339,0,251,22
"47",173,2244.63038213352,610,356,0,254,54
"48",177,2140.01811490942,590,283,0,307,65
"49",129,2098.24745659962,600,301,0,299,38
"50",121,2067.4212656668,580,255,0,325,18
"51",174,2055.46677037483,585,282,0,303,188
"52",150,2047.89126542832,615,282,0,333,16
"53",217,2021.74769681546,575,250,0,325,2
"54",201,1995.23020076304,565,227,0,338,31
"55",215,1992.02188012403,605,272,0,333,177
"56",146,1981.47539602016,575,249,0,326,225
"57",161,1977.99744134562,600,232,0,368,23
"58",175,1976.45832472078,610,260,0,350,89
"59",164,1964.22458406636,625,234,0,391,18
"60",171,1962.35074359588,620,219,0,401,100
"61",169,1926.82248147563,585,218,0,367,38
"62",136,1885.63088171428,575,177,0,398,19
"63",170,1881.39408610249,630,226,0,404,16
"64",155,1876.04292358101,580,194,0,386,81
"65",213,1871.27989935674,605,196,0,409,171
"66",124,1859.13688703943,560,168,0,392,11
"67",144,1851.25559534127,615,201,0,414,138
"68",208,1846.74571083165,565,131,0,434,12
"69",131,1833.35767308048,610,169,0,441,241
"70",205,1833.29327994517,600,174,0,426,26
"71",138,1820.05259759142,575,165,0,410,6
"72",194,1796.72342370245,580,159,0,421,2
"73",183,1795.63205881585,580,160,0,420,40
"74",190,1795.42672908072,635,155,0,480,3
"75",152,1789.49690115513,630,172,0,458,69
"76",209,1764.96631141654,605,141,0,464,47
"77",184,1748.36956224871,620,139,0,481,50
"78",133,1730.55018629876,585,139,0,446,70
"79",156,1725.18830139041,560,139,0,421,86
"80",195,1724.98131232646,610,155,0,455,17
"81",176,1709.49846643941,605,136,0,469,55
"82",154,1701.21679953801,570,146,0,424,4
"83",185,1670.58177533347,640,142,0,498,39
"84",219,1656.98593355705,650,156,0,494,59
"85",139,1610.18009438096,615,115,0,500,33
"86",160,1608.88348547511,595,121,0,474,37
"87",198,1578.1048657806,570,78,0,492,31
"88",204,1560.98520081458,600,105,0,495,20
"89",128,1549.86017547386,600,75,0,525,17
"90",151,1532.97348181724,585,89,0,496,30
"91",202,1513.19127002483,605,64,0,541,52
"92",179,1475.93284678495,600,82,0,518,21
"93",135,1475.51767529299,590,63,0,527,58
"94",178,1469.81407533151,610,67,0,543,124
"95",188,1467.91097827511,600,51,0,549,82
"96",197,1455.89273736625,615,81,0,534,48
"97",189,1455.05789952718,650,50,0,600,15
"98",166,1453.2079794535,565,47,0,518,1
"99",192,1440.62186498318,585,55,0,530,191
"100",196,1411.5434141553,580,58,0,522,1
