,imageId,allScore,karynElo,mikeElo,paulElo,peteElo,susanElo,allRank
1,121,2067.421266,2298.244949,2184.689797,2185.298542,2151.166789,1945.659489,51
2,122,2593.579181,2481.44882,2325.417945,2454.727044,2419.137108,2345.623238,72
3,123,2442.734172,2311.114292,2345.00385,2265.144184,2380.090439,2364.806833,63
4,124,1859.136887,1916.874046,2020.714143,1888.747155,2088.8605,2089.502906,35
5,125,2252.378064,2306.420004,2233.900904,2190.101332,2235.179604,2269.407981,55
6,126,2653.328339,2485.897031,2464.193214,2531.200201,2529.380097,2369.686456,77
7,127,3014.784552,2599.374018,2694.208046,2654.872897,2632.54308,2654.797986,93
8,128,1549.860175,1746.319044,1788.253837,1731.565966,1770.934513,1946.188384,12
9,129,2098.247457,2183.397786,2215.406962,2237.106055,2196.820653,2086.656945,52
10,130,2914.271965,2645.66711,2540.817691,2594.917841,2606.029419,2588.656761,88
11,131,1833.357673,1991.618752,1951.119741,2078.170191,2070.500661,1822.774883,32
12,132,2410.384166,2254.445179,2331.577515,2313.87223,2297.337294,2416.587415,61
13,133,1730.550186,1891.589772,1853.517627,1864.443661,1907.193888,2122.75093,23
14,134,2496.879767,2358.620733,2411.045896,2332.651219,2311.245096,2429.101676,66
15,135,1475.517675,1789.239622,1778.536367,1738.931159,1798.555642,1787.406624,8
16,136,1885.630882,1981.504496,2087.025577,2026.857582,1930.222306,1950.474552,39
17,137,2515.800102,2313.895443,2341.058116,2375.560912,2451.087394,2460.580323,68
18,138,1820.052598,1963.990154,2003.703282,2029.290266,2095.14471,1834.070982,30
19,139,1610.180094,2010.893124,1813.535075,1734.918739,1822.217214,1933.19422,16
20,140,2617.384443,2423.543344,2455.216207,2412.237392,2477.152321,2456.379771,75
21,141,2960.3642,2645.050556,2610.087738,2606.84852,2590.848558,2614.489668,91
22,142,3034.579035,2682.397967,2604.867484,2703.093694,2708.785503,2616.127374,95
23,143,2845.291575,2526.147867,2668.058397,2502.74174,2490.115412,2646.22553,85
24,144,1851.255595,2154.574671,2023.779727,2053.520691,1943.646637,1876.300162,34
25,145,2666.176747,2443.867571,2561.956315,2539.633571,2492.140898,2395.55009,78
26,146,1981.475396,2022.04338,2147.938513,1923.968323,2205.582557,2215.383849,45
27,147,2299.921115,2235.478889,2214.537336,2337.230792,2316.871062,2239.252099,59
28,148,2429.618284,2385.446092,2370.603687,2319.592758,2367.051876,2275.861298,62
29,149,3250.19061,2684.507404,2763.005277,2756.620119,2685.009744,2750.048391,100
30,150,2047.891265,2167.508136,2015.072348,2114.170837,2205.268839,2156.58136,49
31,151,1532.973482,1879.192052,1697.466225,1800.481075,1927.220967,1811.171598,11
32,152,1789.496901,2133.818097,2127.256554,1920.003613,1876.802121,1689.242458,26
33,153,2781.159948,2505.970785,2554.294861,2542.194445,2488.007831,2514.846051,83
34,154,1701.2168,1925.610699,1892.212801,1942.52612,1970.823467,1936.32893,19
35,155,1876.042924,1994.461297,1845.770494,2084.368509,2069.91823,2061.104203,37
36,156,1725.188301,2058.341082,1899.073157,1969.5003,1858.437245,1922.304358,22
37,157,2273.666879,2247.994234,2237.788619,2210.349453,2241.805812,2254.971334,57
38,158,2464.485481,2374.889725,2454.939434,2328.516558,2362.881024,2386.242246,64
39,159,2600.672891,2426.136256,2287.237802,2385.407422,2524.36241,2565.345138,74
40,160,1608.883485,1864.021748,1830.931065,1784.709101,1880.932034,2027.947226,15
41,161,1977.997441,2151.603241,2021.522499,2091.613274,2027.082878,2106.871805,44
42,162,2548.779232,2438.354048,2457.015829,2361.979428,2386.775591,2381.766839,69
43,163,2583.561636,2457.03163,2435.937211,2463.242577,2300.529927,2401.642208,71
44,164,1964.224584,1955.866637,2123.207061,2079.098998,1971.882,2161.839433,42
45,165,2751.72673,2495.916363,2608.441204,2520.988955,2541.26596,2431.048582,81
