task_id,image0,image1,winner,user,date,icl
0,169,198,1,karyn,Wed Apr 29 2015 09:30:20 GMT-0400 (Eastern Standard Time),ICL_third_set_hundred_r2
1,129,134,-1,karyn,Wed Apr 29 2015 09:30:23 GMT-0400 (Eastern Standard Time),ICL_third_set_hundred_r2
10,179,184,-1,karyn,Wed Apr 29 2015 09:32:33 GMT-0400 (Eastern Standard Time),ICL_third_set_hundred_r2
100,161,195,1,karyn,Wed Apr 29 2015 10:00:52 GMT-0400 (Eastern Standard Time),ICL_third_set_hundred_r2
1000,156,179,1,karyn,Wed Apr 29 2015 17:37:40 GMT-0400 (Eastern Standard Time),ICL_third_set_hundred_r2
1001,122,213,1,karyn,Wed Apr 29 2015 17:37:42 GMT-0400 (Eastern Standard Time),ICL_third_set_hundred_r2
1002,150,202,1,karyn,Wed Apr 29 2015 17:37:44 GMT-0400 (Eastern Standard Time),ICL_third_set_hundred_r2
1003,175,124,1,karyn,Wed Apr 29 2015 17:37:46 GMT-0400 (Eastern Standard Time),ICL_third_set_hundred_r2
1004,213,220,-1,karyn,Wed Apr 29 2015 17:37:49 GMT-0400 (Eastern Standard Time),ICL_third_set_hundred_r2
1005,166,173,-1,karyn,Wed Apr 29 2015 17:37:52 GMT-0400 (Eastern Standard Time),ICL_third_set_hundred_r2
1006,125,180,-1,karyn,Wed Apr 29 2015 17:37:56 GMT-0400 (Eastern Standard Time),ICL_third_set_hundred_r2
1007,134,181,-1,karyn,Wed Apr 29 2015 17:37:58 GMT-0400 (Eastern Standard Time),ICL_third_set_hundred_r2
1008,178,196,-1,karyn,Wed Apr 29 2015 18:40:00 GMT-0400 (EDT),ICL_third_set_hundred_r2
1009,188,195,-1,karyn,Wed Apr 29 2015 18:40:09 GMT-0400 (EDT),ICL_third_set_hundred_r2
101,184,188,1,karyn,Wed Apr 29 2015 10:14:12 GMT-0400 (Eastern Standard Time),ICL_third_set_hundred_r2
1010,177,146,-1,karyn,Wed Apr 29 2015 18:40:13 GMT-0400 (EDT),ICL_third_set_hundred_r2
1011,155,190,1,karyn,Wed Apr 29 2015 18:40:29 GMT-0400 (EDT),ICL_third_set_hundred_r2
1012,190,203,-1,karyn,Wed Apr 29 2015 18:40:32 GMT-0400 (EDT),ICL_third_set_hundred_r2
1013,160,216,-1,karyn,Wed Apr 29 2015 18:40:38 GMT-0400 (EDT),ICL_third_set_hundred_r2
1014,211,213,1,karyn,Wed Apr 29 2015 18:40:59 GMT-0400 (EDT),ICL_third_set_hundred_r2
1015,159,181,-1,karyn,Wed Apr 29 2015 18:41:35 GMT-0400 (EDT),ICL_third_set_hundred_r2
1016,144,193,-1,karyn,Wed Apr 29 2015 18:45:15 GMT-0400 (EDT),ICL_third_set_hundred_r2
1017,136,205,-1,karyn,Wed Apr 29 2015 18:45:17 GMT-0400 (EDT),ICL_third_set_hundred_r2
1018,125,137,1,karyn,Wed Apr 29 2015 18:45:25 GMT-0400 (EDT),ICL_third_set_hundred_r2
1019,166,219,-1,karyn,Wed Apr 29 2015 18:45:28 GMT-0400 (EDT),ICL_third_set_hundred_r2
102,150,216,-1,karyn,Wed Apr 29 2015 10:14:15 GMT-0400 (Eastern Standard Time),ICL_third_set_hundred_r2
1020,170,179,1,karyn,Wed Apr 29 2015 18:45:35 GMT-0400 (EDT),ICL_third_set_hundred_r2
1021,131,171,1,karyn,Wed Apr 29 2015 18:45:43 GMT-0400 (EDT),ICL_third_set_hundred_r2
1022,184,211,-1,karyn,Wed Apr 29 2015 18:45:47 GMT-0400 (EDT),ICL_third_set_hundred_r2
1023,129,121,-1,karyn,Wed Apr 29 2015 18:45:59 GMT-0400 (EDT),ICL_third_set_hundred_r2
1024,130,129,1,karyn,Wed Apr 29 2015 18:46:01 GMT-0400 (EDT),ICL_third_set_hundred_r2
1025,158,185,1,karyn,Wed Apr 29 2015 18:46:03 GMT-0400 (EDT),ICL_third_set_hundred_r2
1026,161,217,-1,karyn,Wed Apr 29 2015 18:46:07 GMT-0400 (EDT),ICL_third_set_hundred_r2
1027,156,194,-1,karyn,Wed Apr 29 2015 18:46:12 GMT-0400 (EDT),ICL_third_set_hundred_r2
1028,134,168,1,karyn,Wed Apr 29 2015 18:46:15 GMT-0400 (EDT),ICL_third_set_hundred_r2
1029,130,163,1,karyn,Wed Apr 29 2015 18:46:18 GMT-0400 (EDT),ICL_third_set_hundred_r2
103,142,163,1,karyn,Wed Apr 29 2015 10:14:18 GMT-0400 (Eastern Standard Time),ICL_third_set_hundred_r2
1030,187,206,1,karyn,Wed Apr 29 2015 18:46:24 GMT-0400 (EDT),ICL_third_set_hundred_r2
1031,125,169,1,karyn,Wed Apr 29 2015 18:46:26 GMT-0400 (EDT),ICL_third_set_hundred_r2
1032,183,206,-1,karyn,Wed Apr 29 2015 18:46:28 GMT-0400 (EDT),ICL_third_set_hundred_r2
1033,200,210,1,karyn,Wed Apr 29 2015 18:46:32 GMT-0400 (EDT),ICL_third_set_hundred_r2
