"","Player","Rating","Games","Win","Draw","Loss","Lag"
"1",233,2440.1678768891,32,31,0,1,0
"2",223,2337.50857185123,23,17,0,6,3
"3",239,2317.70088693976,32,26,0,6,21
"4",240,2307.89964728646,58,39,0,19,3
"5",224,2266.16855251462,22,16,0,6,15
"6",236,2264.29488556819,13,9,0,4,7
"7",243,2252.08102053646,68,40,0,28,7
"8",244,2245.96159421531,16,9,0,7,2
"9",235,2243.99479033728,22,15,0,7,2
"10",232,2240.05160032596,32,19,0,13,5
"11",231,2231.00029110229,35,16,0,19,0
"12",237,2219.71863230697,56,26,0,30,4
"13",242,2209.58178311405,67,31,0,36,19
"14",225,2208.35326684498,21,10,0,11,8
"15",229,2173.78783752058,16,7,0,9,16
"16",245,2140.32497765782,18,7,0,11,4
"17",238,2133.74732475579,10,1,0,9,46
"18",227,2133.61163309937,19,5,0,14,12
"19",228,2122.57104500135,31,12,0,19,1
"20",241,2104.65854905823,35,11,0,24,1
"21",234,2103.33179500609,12,1,0,11,33
"22",221,2100.16034056158,24,4,0,20,39
"23",230,2075.83292521113,17,3,0,14,5
"24",226,2069.98712398508,20,4,0,16,19
"25",222,2057.50304831029,23,2,0,21,58
