"","Player","Rating","Games","Win","Draw","Loss","Lag"
"1",233,2419.14008839489,32,29,0,3,0
"2",223,2348.48645695599,23,19,0,4,3
"3",243,2320.10210044617,68,46,0,22,7
"4",236,2276.38076113309,13,9,0,4,7
"5",244,2267.34328893715,16,10,0,6,2
"6",239,2266.44327227917,32,21,0,11,21
"7",240,2257.58016350688,58,33,0,25,3
"8",232,2256.71305131303,32,20,0,12,5
"9",231,2253.02544619064,35,19,0,16,0
"10",235,2250.36092041172,22,15,0,7,2
"11",237,2233.12719859606,56,28,0,28,4
"12",224,2228.94305404327,22,14,0,8,15
"13",225,2210.88802834513,21,9,0,12,8
"14",221,2191.417913219,24,10,0,14,39
"15",229,2179.36093747956,16,7,0,9,16
"16",245,2158.56880988111,18,7,0,11,4
"17",242,2155.25619434303,67,29,0,38,19
"18",238,2132.02694778575,10,1,0,9,46
"19",222,2118.74130044619,23,6,0,17,58
"20",234,2111.25646456207,12,1,0,11,33
"21",241,2100.54228403492,35,12,0,23,1
"22",226,2079.59675256667,20,5,0,15,19
"23",228,2079.21385361467,31,9,0,22,1
"24",230,2064.37498149849,17,2,0,15,5
"25",227,2041.10973001535,19,0,0,19,12
