order,imageId,allScore,allRank,,imageId,jasonElo,jasonRank,,imageId,karynElo,karynRank,,imageId,kimElo,kimRank,,imageId,ninaElo,ninaRank,,imageId,tomElo,tomRank
13,233,2655.877116,1,,233,2432.546716,1,,233,2352.660849,1,,233,2440.167877,1,,233,2419.140088,1,,233,2380.256576,1
3,223,2464.612609,2,,240,2350.378806,2,,236,2337.649994,2,,223,2337.508572,2,,223,2348.486457,2,,240,2302.601657,2
16,236,2444.94683,3,,223,2284.232923,3,,240,2332.97969,3,,239,2317.700887,3,,243,2320.1021,3,,223,2289.391775,3
24,244,2408.60362,4,,243,2283.604696,4,,224,2321.706296,4,,240,2307.899647,4,,236,2276.380761,4,,243,2288.613865,4
11,231,2356.656992,5,,235,2266.266729,5,,231,2279.647526,5,,224,2266.168553,5,,244,2267.343289,5,,236,2283.763239,5
20,240,2351.536275,6,,236,2259.621036,6,,223,2270.884755,6,,236,2264.294886,6,,239,2266.443272,6,,224,2265.908514,6
19,239,2324.895549,7,,232,2259.049708,7,,239,2269.726929,7,,243,2252.081021,7,,240,2257.580164,7,,239,2246.551454,7
23,243,2269.764536,8,,239,2251.393094,8,,244,2269.263489,8,,244,2245.961594,8,,232,2256.713051,8,,231,2246.293594,8
1,221,2263.668734,9,,224,2249.622639,9,,232,2257.219499,9,,235,2243.99479,9,,231,2253.025446,9,,244,2245.645539,9
4,224,2255.376084,10,,244,2249.205164,10,,235,2244.603908,10,,232,2240.0516,10,,235,2250.36092,10,,235,2245.320025,10
17,237,2242.992545,11,,237,2234.214938,11,,243,2240.35224,11,,231,2231.000291,11,,237,2233.127199,11,,232,2231.26717,11
15,235,2234.466513,12,,221,2207.704947,12,,221,2215.260297,12,,237,2219.718632,12,,224,2228.943054,12,,225,2221.241692,12
12,232,2228.856958,13,,231,2199.230236,13,,229,2186.6048,13,,242,2209.581783,13,,225,2210.888028,13,,237,2220.826063,13
9,229,2215.650408,14,,225,2178.737,14,,245,2181.205879,14,,225,2208.353267,14,,221,2191.417913,14,,242,2215.121455,14
22,242,2170.981914,15,,229,2165.670078,15,,225,2169.344625,15,,229,2173.787838,15,,229,2179.360937,15,,221,2176.234108,15
5,225,2140.799436,16,,245,2150.492345,16,,242,2162.566371,16,,245,2140.324978,16,,245,2158.56881,16,,229,2171.592459,16
8,228,2133.565648,17,,242,2142.934483,17,,228,2156.476402,17,,238,2133.747325,17,,242,2155.256194,17,,228,2148.509178,17
25,245,2085.980963,18,,234,2142.688354,18,,237,2110.483025,18,,227,2133.611633,18,,238,2132.026948,18,,245,2141.672964,18
2,222,2064.07436,19,,228,2134.794365,19,,227,2108.070518,19,,228,2122.571045,19,,222,2118.7413,19,,238,2131.96292,19
18,238,2044.729554,20,,241,2124.425438,20,,238,2106.718367,20,,241,2104.658549,20,,234,2111.256465,20,,234,2121.20177,20
21,241,2012.232738,21,,238,2106.739129,21,,234,2104.319707,21,,234,2103.331795,21,,241,2100.542284,21,,222,2116.843535,21
7,227,1978.479395,22,,226,2102.107053,22,,222,2102.020073,22,,221,2100.160341,22,,226,2079.596753,22,,241,2114.711277,22
14,234,1972.054368,23,,227,2095.085998,23,,241,2090.926626,23,,230,2075.832925,23,,228,2079.213854,23,,230,2094.844898,23
6,226,1870.728231,24,,222,2065.097383,24,,226,2064.854454,24,,226,2069.987124,24,,230,2064.374981,24,,226,2052.809164,24
10,230,1808.468625,25,,230,2064.156741,25,,230,2064.453678,25,,222,2057.503048,25,,227,2041.10973,25,,227,2046.815109,25
