taskId,img0Id,img1ID,img0Name,img1Name,jason,karyn,kim,nina,tom
0,224,237,33_ohsu-001-gb-6th-session-OD-posterior1.bmp,9_miam-0014-3-os.BMP,1,1,1,1,1
1,243,242,97_ohsu-0011-mb-1st-OD-posterior.bmp,29_miam-0018-5-od.BMP,-1,-1,-1,-1,-1
2,226,242,85_ohsu-0011-mb-2nd-OS-posterior.bmp,29_miam-0018-5-od.BMP,-1,-1,-1,-1,-1
3,221,239,49_ohsu-0020-gl-5th-OD-posterior.bmp,13_4_Full.JPG,-1,-1,-1,-1,-1
4,228,231,65_ohsu-0060-3-OS-posterior.bmp,69_ohsu-0063-3-OS-posterior.bmp,-1,-1,-1,-1,-1
5,229,237,41_beau-0061-4-OS-posterior.bmp,9_miam-0014-3-os.BMP,-1,-1,-1,-1,-1
6,222,240,81_ohsu-0063-2-OD-posterior.bmp,5_ohsu-0054-5-os.bmp,-1,1,-1,-1,-1
7,227,243,89_ohsu-0029-ps-2nd-OD-posterior.bmp,97_ohsu-0011-mb-1st-OD-posterior.bmp,-1,-1,1,-1,-1
8,233,242,1_24-second-OS-temporal.bmp,29_miam-0018-5-od.BMP,1,1,1,1,1
9,242,242,29_miam-0018-5-od.BMP,29_miam-0018-5-od.BMP,1,1,1,1,1
10,226,242,85_ohsu-0011-mb-2nd-OS-posterior.bmp,29_miam-0018-5-od.BMP,1,1,1,1,1
11,231,233,69_ohsu-0063-3-OS-posterior.bmp,1_24-second-OS-temporal.bmp,-1,-1,-1,-1,-1
12,232,241,53_ohsu-0041-am-1st-OD-posterior.bmp,61_miam--0027-2-od.BMP,-1,-1,-1,-1,-1
13,224,237,33_ohsu-001-gb-6th-session-OD-posterior1.bmp,9_miam-0014-3-os.BMP,1,1,1,1,1
14,241,228,61_miam--0027-2-od.BMP,65_ohsu-0060-3-OS-posterior.bmp,-1,-1,-1,-1,-1
15,224,237,33_ohsu-001-gb-6th-session-OD-posterior1.bmp,9_miam-0014-3-os.BMP,1,1,1,1,1
16,226,242,85_ohsu-0011-mb-2nd-OS-posterior.bmp,29_miam-0018-5-od.BMP,-1,-1,-1,-1,-1
17,223,240,25_corn-0018-3-od-posterior.bmp,5_ohsu-0054-5-os.bmp,1,1,1,1,1
18,242,242,29_miam-0018-5-od.BMP,29_miam-0018-5-od.BMP,1,1,1,1,1
19,242,242,29_miam-0018-5-od.BMP,29_miam-0018-5-od.BMP,1,-1,-1,-1,-1
20,222,240,81_ohsu-0063-2-OD-posterior.bmp,5_ohsu-0054-5-os.bmp,-1,1,-1,-1,1
21,222,240,81_ohsu-0063-2-OD-posterior.bmp,5_ohsu-0054-5-os.bmp,-1,-1,1,1,-1
22,221,239,49_ohsu-0020-gl-5th-OD-posterior.bmp,13_4_Full.JPG,-1,-1,-1,-1,-1
23,226,242,85_ohsu-0011-mb-2nd-OS-posterior.bmp,29_miam-0018-5-od.BMP,1,1,1,1,-1
24,229,237,41_beau-0061-4-OS-posterior.bmp,9_miam-0014-3-os.BMP,1,1,1,1,1
25,229,237,41_beau-0061-4-OS-posterior.bmp,9_miam-0014-3-os.BMP,1,1,1,1,1
26,228,231,65_ohsu-0060-3-OS-posterior.bmp,69_ohsu-0063-3-OS-posterior.bmp,-1,-1,-1,-1,-1
27,243,242,97_ohsu-0011-mb-1st-OD-posterior.bmp,29_miam-0018-5-od.BMP,-1,-1,-1,-1,-1
28,226,242,85_ohsu-0011-mb-2nd-OS-posterior.bmp,29_miam-0018-5-od.BMP,-1,-1,-1,-1,-1
29,221,239,49_ohsu-0020-gl-5th-OD-posterior.bmp,13_4_Full.JPG,1,1,-1,-1,1
30,238,235,73_ohsu-0031-cc-3rd-OS-posterior.bmp,37_miam-0018-4-os.BMP,-1,-1,-1,-1,-1
31,229,237,41_beau-0061-4-OS-posterior.bmp,9_miam-0014-3-os.BMP,-1,-1,-1,-1,-1
