"","Player","Rating","Games","Win","Draw","Loss","Lag"
"1",233,2380.25657641098,32,26,0,6,0
"2",240,2302.60165674561,58,39,0,19,3
"3",223,2289.39177503681,23,14,0,9,3
"4",243,2288.61386468655,68,42,0,26,7
"5",236,2283.76323946458,13,10,0,3,7
"6",224,2265.90851415507,22,16,0,6,15
"7",239,2246.5514538654,32,18,0,14,21
"8",231,2246.29359374653,35,19,0,16,0
"9",244,2245.64553893009,16,9,0,7,2
"10",235,2245.32002473657,22,15,0,7,2
"11",232,2231.26716960406,32,18,0,14,5
"12",225,2221.24169239138,21,10,0,11,8
"13",237,2220.82606326564,56,26,0,30,4
"14",242,2215.12145469896,67,34,0,33,19
"15",221,2176.23410764102,24,11,0,13,39
"16",229,2171.59245905128,16,7,0,9,16
"17",228,2148.50917815102,31,12,0,19,1
"18",245,2141.672963528,18,7,0,11,4
"19",238,2131.96292000672,10,1,0,9,46
"20",234,2121.20176979221,12,2,0,10,33
"21",222,2116.84353531103,23,5,0,18,58
"22",241,2114.71127709248,35,12,0,23,1
"23",230,2094.84489798491,17,4,0,13,5
"24",226,2052.80916446312,20,3,0,17,19
"25",227,2046.81510923998,19,1,0,18,12
