,Player,Rating,Games,Win,Draw,Loss,Lag
1,258,2509,41,41,0,0,63
2,249,2477,37,35,0,2,3
3,261,2449,39,35,0,4,33
4,274,2447,40,36,0,4,3
5,252,2424,36,32,0,4,16
6,271,2386,39,31,0,8,37
7,254,2370,39,31,0,8,12
8,273,2361,39,31,0,8,7
9,263,2361,36,29,0,7,2
10,250,2341,41,31,0,10,8
11,251,2319,42,29,0,13,9
12,279,2276,43,25,0,18,24
13,262,2256,42,25,0,17,28
14,278,2224,42,24,0,18,27
15,246,2214,40,21,0,19,0
16,276,2207,38,20,0,18,14
17,247,2205,39,20,0,19,11
18,272,2196,40,20,0,20,1
19,257,2190,37,18,0,19,1
20,248,2178,46,21,0,25,24
21,259,2166,37,16,0,21,62
22,277,2141,39,15,0,24,6
23,269,2104,41,15,0,26,4
24,255,2103,38,13,0,25,22
25,270,2057,38,9,0,29,2
26,256,2050,43,12,0,31,4
27,267,2047,38,9,0,29,6
28,275,2031,39,8,0,31,0
29,260,1989,41,6,0,35,10
30,264,1972,36,4,0,32,61
31,266,1959,35,3,0,32,13
32,253,1947,42,4,0,38,7
33,268,1946,38,3,0,35,5
34,265,1897,47,2,0,45,17
