,Player,Rating,Games,Win,Draw,Loss,Lag
1,258,2476,35,35,0,0,5
2,250,2460,32,32,0,0,21
3,254,2410,29,27,0,2,17
4,263,2392,25,23,0,2,0
5,261,2390,30,26,0,4,2
6,274,2374,30,26,0,4,42
7,273,2365,32,27,0,5,8
8,249,2361,29,24,0,5,8
9,252,2347,23,20,0,3,15
10,271,2301,32,22,0,10,4
11,246,2287,32,22,0,10,2
12,251,2285,33,23,0,10,3
13,276,2282,27,18,0,9,19
14,278,2269,37,23,0,14,5
15,257,2241,28,17,0,11,6
16,272,2222,28,15,0,13,25
17,270,2190,24,11,0,13,36
18,255,2184,32,15,0,17,12
19,269,2170,30,13,0,17,18
20,262,2165,30,13,0,17,15
21,277,2142,30,11,0,19,17
22,259,2138,30,12,0,18,16
23,279,2124,32,11,0,21,31
24,256,2101,35,10,0,25,12
25,265,2099,36,11,0,25,34
26,247,2083,30,8,0,22,7
27,264,2069,31,8,0,23,0
28,260,2051,34,8,0,26,4
29,266,2002,27,2,0,25,14
30,267,1981,31,2,0,29,1
31,248,1979,36,4,0,32,9
32,253,1969,31,2,0,29,7
33,275,1959,32,1,0,31,20
34,268,1931,31,0,0,31,11
