,Player,Rating,Games,Win,Draw,Loss,Lag
1,279,2515,43,43,0,0,24
2,249,2455,37,34,0,3,3
3,252,2438,36,33,0,3,16
4,261,2431,39,35,0,4,33
5,274,2427,40,35,0,5,3
6,266,2416,35,30,0,5,13
7,257,2381,37,28,0,9,1
8,278,2376,42,33,0,9,27
9,251,2331,42,32,0,10,9
10,250,2267,41,25,0,16,8
11,262,2264,42,25,0,17,28
12,273,2256,39,25,0,14,7
13,258,2252,41,25,0,16,63
14,275,2236,39,18,0,21,0
15,254,2223,39,22,0,17,12
16,265,2216,47,25,0,22,17
17,268,2206,38,19,0,19,5
18,246,2195,40,19,0,21,0
19,247,2186,39,19,0,20,11
20,272,2176,40,20,0,20,1
21,248,2165,46,21,0,25,24
22,276,2129,38,15,0,23,14
23,271,2110,39,12,0,27,37
24,270,2093,38,10,0,28,2
25,263,2092,36,12,0,24,2
26,269,2069,41,13,0,28,4
27,256,2041,43,10,0,33,4
28,259,2037,37,8,0,29,62
29,255,2024,38,8,0,30,22
30,264,2017,36,6,0,30,61
31,260,1984,41,7,0,34,10
32,267,1949,38,3,0,35,6
33,277,1927,39,2,0,37,6
34,253,1915,42,2,0,40,7
