,Player,Rating,Games,Win,Draw,Loss,Lag
1,250,2497,41,40,0,1,8
2,254,2488,39,38,0,1,12
3,273,2469,39,36,0,3,7
4,246,2451,40,36,0,4,0
5,258,2448,41,37,0,4,63
6,251,2414,42,36,0,6,9
7,278,2410,42,35,0,7,27
8,274,2349,40,30,0,10,3
9,249,2342,37,29,0,8,3
10,261,2323,39,28,0,11,33
11,252,2313,36,25,0,11,16
12,263,2296,36,24,0,12,2
13,276,2279,38,24,0,14,14
14,262,2264,42,24,0,18,28
15,271,2250,39,23,0,16,37
16,259,2230,37,20,0,17,62
17,265,2217,47,24,0,23,17
18,272,2210,40,21,0,19,1
19,269,2167,41,18,0,23,4
20,260,2137,41,15,0,26,10
21,267,2133,38,14,0,24,6
22,257,2120,37,15,0,22,1
23,255,2101,38,13,0,25,22
24,264,2086,36,11,0,25,61
25,277,2071,39,12,0,27,6
26,279,2056,43,11,0,32,24
27,247,2014,39,8,0,31,11
28,270,2005,38,6,0,32,2
29,248,1982,46,8,0,38,24
30,275,1976,39,4,0,35,0
31,268,1941,38,3,0,35,5
32,256,1935,43,4,0,39,4
33,266,1914,35,0,0,35,13
34,253,1912,42,2,0,40,7
