"","Player","Rating","Games","Win","Draw","Loss","Lag"
"1",250,2759.89968294787,237,219,0,18,8
"2",258,2734.52104781053,240,224,0,16,63
"3",254,2657.43125960195,224,198,0,26,12
"4",249,2614.97954502206,214,180,0,34,3
"5",273,2594.61915553426,227,187,0,40,7
"6",251,2588.33324194953,242,195,0,47,9
"7",246,2525.47846404095,232,183,0,49,0
"8",252,2517.0521362914,203,155,0,48,16
"9",274,2510.75378906904,230,181,0,49,3
"10",261,2496.78825608875,225,172,0,53,33
"11",271,2480.0895706784,227,146,0,81,37
"12",278,2463.86711847236,247,183,0,64,27
"13",263,2446.04416232501,205,155,0,50,2
"14",262,2379.14898454945,240,140,0,100,28
"15",276,2354.1175887498,217,134,0,83,14
"16",272,2215.15659096371,228,114,0,114,1
"17",259,2185.48135268505,215,99,0,116,62
"18",269,2105.52231517115,235,102,0,133,4
"19",247,2085.55149070159,225,79,0,146,11
"20",257,2071.3257163679,213,88,0,125,1
"21",279,2033.56642973568,247,81,0,166,24
"22",248,2014.28551396649,266,90,0,176,24
"23",256,1996.50822801377,250,67,0,183,4
"24",267,1993.35374942528,220,61,0,159,6
"25",265,1992.61904587742,271,85,0,186,17
"26",277,1968.92994432063,225,82,0,143,6
"27",255,1911.61290466721,222,73,0,149,22
"28",260,1890.34284776563,239,49,0,190,10
"29",270,1889.71517138412,214,53,0,161,2
"30",264,1813.41650954019,211,42,0,169,61
"31",275,1702.98917875212,227,30,0,197,0
"32",268,1629.48369400178,221,18,0,203,5
"33",253,1622.2781593328,241,18,0,223,7
"34",266,1554.7371541961,202,8,0,194,13
