"","allScore","jasonElo","jimElo","karynElo","kellyElo","mariaElo","mikeElo","mikeRElo","mikeSElo","ninaElo","paulElo","peteElo","susanElo","testuser4Elo"
"allScore",1,0.880876035427738,0.866252143284818,0.847281031670517,0.890972587548243,0.546211746092288,0.917789177658563,0.91101567863329,0.892061548713385,0.848083355375194,0.937018568223211,0.934073255073654,0.926569549378798,0.673260692829411
"jasonElo",0.880876035427738,1,0.848274652231592,0.722455134323978,0.87090033372325,0.329346825025702,0.858998167406658,0.898859995532045,0.923749974010963,0.684312800971343,0.813554335734601,0.816880743516163,0.854944196021377,0.518990880589121
"jimElo",0.866252143284818,0.848274652231592,1,0.670429871406829,0.863800542083186,0.536943454641112,0.740678279896263,0.881337739564202,0.766902024118975,0.758981171207787,0.772492850076926,0.779894362581474,0.758438171493829,0.656447858835838
"karynElo",0.847281031670517,0.722455134323978,0.670429871406829,1,0.845502124675098,0.360863151911226,0.869307624343607,0.736998988292765,0.693663878061642,0.684680157272962,0.874368720664768,0.790469236331724,0.891774603016116,0.486160483309882
"kellyElo",0.890972587548243,0.87090033372325,0.863800542083186,0.845502124675098,1,0.412079366899383,0.867245047714556,0.890373156370255,0.776456194368909,0.701814118475688,0.853909878127026,0.787654400654667,0.909661135397517,0.598082275587791
"mariaElo",0.546211746092288,0.329346825025702,0.536943454641112,0.360863151911226,0.412079366899383,1,0.35520835228948,0.369581132224377,0.310634552966307,0.565598225321487,0.42620479404152,0.45045465054535,0.387933178603891,0.858223429052951
"mikeElo",0.917789177658563,0.858998167406658,0.740678279896263,0.869307624343607,0.867245047714556,0.35520835228948,1,0.856432018596331,0.877806757611792,0.769063443183006,0.926724021780815,0.866097327138595,0.944564249562252,0.528539169836905
"mikeRElo",0.91101567863329,0.898859995532045,0.881337739564202,0.736998988292765,0.890373156370255,0.369581132224377,0.856432018596331,1,0.877600036100006,0.750553797951873,0.866731396541076,0.857745724518016,0.857286680019614,0.543556391078749
"mikeSElo",0.892061548713385,0.923749974010963,0.766902024118975,0.693663878061642,0.776456194368909,0.310634552966307,0.877806757611792,0.877600036100006,1,0.734480787212298,0.827085406686683,0.879007212632025,0.84527145461079,0.477799132007182
"ninaElo",0.848083355375194,0.684312800971343,0.758981171207787,0.684680157272962,0.701814118475688,0.565598225321487,0.769063443183006,0.750553797951873,0.734480787212298,1,0.850263684400839,0.855783511173188,0.770873714173978,0.646305118077857
"paulElo",0.937018568223211,0.813554335734601,0.772492850076926,0.874368720664768,0.853909878127026,0.42620479404152,0.926724021780815,0.866731396541076,0.827085406686683,0.850263684400839,1,0.909717629887189,0.909758467982028,0.571368207749474
"peteElo",0.934073255073654,0.816880743516163,0.779894362581474,0.790469236331724,0.787654400654667,0.45045465054535,0.866097327138595,0.857745724518016,0.879007212632025,0.855783511173188,0.909717629887189,1,0.876893492218499,0.594353702661882
"susanElo",0.926569549378798,0.854944196021377,0.758438171493829,0.891774603016116,0.909661135397517,0.387933178603891,0.944564249562252,0.857286680019614,0.84527145461079,0.770873714173978,0.909758467982028,0.876893492218499,1,0.574965671579102
"testuser4Elo",0.673260692829411,0.518990880589121,0.656447858835838,0.486160483309882,0.598082275587791,0.858223429052951,0.528539169836905,0.543556391078749,0.477799132007182,0.646305118077857,0.571368207749474,0.594353702661882,0.574965671579102,1
