rank,Player,Rating,Games,Win,Draw,Loss,Lag
1,250,2720,524,462,0,62,8
2,249,2653,473,396,0,77,3
3,258,2637,527,471,0,56,63
4,278,2610,541,434,0,107,27
5,254,2573,497,414,0,83,12
6,273,2557,500,390,0,110,7
7,251,2556,536,438,0,98,9
8,261,2523,498,388,0,110,33
9,246,2486,512,401,0,111,0
10,252,2449,455,335,0,120,16
11,274,2431,510,384,0,126,3
12,271,2403,500,283,0,217,37
13,262,2388,534,309,0,225,28
14,263,2287,457,320,0,137,2
15,276,2285,483,259,0,224,14
16,257,2196,472,227,0,245,1
17,272,2145,508,239,0,269,1
18,259,2108,474,194,0,280,62
19,279,2103,548,255,0,293,24
20,247,2069,498,177,0,321,11
21,269,2057,522,211,0,311,4
22,265,2055,600,213,0,387,17
23,270,2043,480,149,0,331,2
24,248,2035,588,214,0,374,24
25,267,2017,486,128,0,358,6
26,256,1976,551,128,0,423,4
27,255,1940,488,148,0,340,22
28,260,1933,526,129,0,397,10
29,277,1865,498,156,0,342,6
30,275,1784,500,81,0,419,0
31,266,1780,447,79,0,368,13
32,264,1771,463,91,0,372,61
33,268,1763,487,72,0,415,5
34,253,1602,535,34,0,501,7
