"","Player","Rating","Games","Win","Draw","Loss","Lag"
"1",254,2494.75901848054,39,38,0,1,12
"2",258,2482.94641795508,41,39,0,2,63
"3",250,2468.37780259018,41,39,0,2,8
"4",263,2440.21991104234,36,33,0,3,2
"5",249,2439.91308971037,37,33,0,4,3
"6",273,2381.37199436343,39,32,0,7,7
"7",261,2365.43906167797,39,30,0,9,33
"8",276,2345.827896952,38,27,0,11,14
"9",274,2337.38913295504,40,30,0,10,3
"10",278,2324.92474954991,42,31,0,11,27
"11",246,2324.63091577045,40,29,0,11,0
"12",252,2310.44097643326,36,25,0,11,16
"13",251,2290.0783791798,42,28,0,14,9
"14",271,2268.26767835327,39,24,0,15,37
"15",262,2234.6163602214,42,23,0,19,28
"16",259,2226.81065640974,37,20,0,17,62
"17",277,2223.4445877638,39,20,0,19,6
"18",248,2183.20435109139,46,22,0,24,24
"19",272,2133.61700139225,40,16,0,24,1
"20",256,2125.87642861776,43,15,0,28,4
"21",255,2122.69474664656,38,13,0,25,22
"22",267,2121.14869629364,38,15,0,23,6
"23",275,2084.67639802555,39,11,0,28,0
"24",270,2077.06424844773,38,10,0,28,2
"25",279,2070.2828662042,43,11,0,32,24
"26",265,2067.97503790364,47,15,0,32,17
"27",257,2052.64281188467,37,9,0,28,1
"28",269,2010.1503793487,41,8,0,33,4
"29",247,2001.75343132957,39,8,0,31,11
"30",264,1999.8860780365,36,6,0,30,61
"31",260,1972.17493775597,41,6,0,35,10
"32",268,1964.34031230994,38,5,0,33,5
"33",266,1939.48132128758,35,1,0,34,13
"34",253,1913.57232401579,42,2,0,40,7
