"","Player","Rating","Games","Win","Draw","Loss","Lag"
"1",258,2509.42678685068,41,41,0,0,63
"2",249,2476.87385449318,37,35,0,2,3
"3",261,2448.60786053963,39,35,0,4,33
"4",274,2447.30815569853,40,36,0,4,3
"5",252,2423.97655401849,36,32,0,4,16
"6",271,2386.14418492158,39,31,0,8,37
"7",254,2370.46566665251,39,31,0,8,12
"8",273,2361.49583915786,39,31,0,8,7
"9",263,2360.66127783743,36,29,0,7,2
"10",250,2341.22502504652,41,31,0,10,8
"11",251,2319.00018476151,42,29,0,13,9
"12",279,2275.58129223457,43,25,0,18,24
"13",262,2256.20205197443,42,25,0,17,28
"14",278,2223.6732610651,42,24,0,18,27
"15",246,2213.62825406595,40,21,0,19,0
"16",276,2207.00386736749,38,20,0,18,14
"17",247,2205.17893702776,39,20,0,19,11
"18",272,2196.20630889476,40,20,0,20,1
"19",257,2190.34316570655,37,18,0,19,1
"20",248,2178.1698846486,46,21,0,25,24
"21",259,2166.07960692487,37,16,0,21,62
"22",277,2140.83178346527,39,15,0,24,6
"23",269,2104.30028615126,41,15,0,26,4
"24",255,2102.96791026005,38,13,0,25,22
"25",270,2057.4204732032,38,9,0,29,2
"26",256,2050.09156320607,43,12,0,31,4
"27",267,2046.95174036968,38,9,0,29,6
"28",275,2031.38956513897,39,8,0,31,0
"29",260,1988.73182972758,41,6,0,35,10
"30",264,1971.75095396433,36,4,0,32,61
"31",266,1958.57290198497,35,3,0,32,13
"32",253,1946.70329988096,42,4,0,38,7
"33",268,1946.29240532575,38,3,0,35,5
"34",265,1896.74326743394,47,2,0,45,17
