"","Player","Rating","Games","Win","Draw","Loss","Lag"
"1",258,2508.26370882566,41,41,0,0,63
"2",250,2478.21792348297,41,38,0,3,8
"3",249,2460.20114697858,37,35,0,2,3
"4",261,2447.31557898505,39,35,0,4,33
"5",246,2434.19714183582,40,35,0,5,0
"6",278,2394.27070987813,42,34,0,8,27
"7",251,2363.42712741409,42,33,0,9,9
"8",254,2328.06608505108,39,27,0,12,12
"9",263,2318.88062010606,36,25,0,11,2
"10",273,2297.33637424979,39,27,0,12,7
"11",274,2296.53319061288,40,29,0,11,3
"12",260,2292.26788138129,41,26,0,15,10
"13",269,2279.26836920544,41,26,0,15,4
"14",252,2257.29811190093,36,21,0,15,16
"15",265,2247.6552215823,47,28,0,19,17
"16",270,2212.72534716056,38,18,0,20,2
"17",257,2203.36655277935,37,19,0,18,1
"18",276,2201.13236636372,38,18,0,20,14
"19",272,2193.4404036499,40,20,0,20,1
"20",271,2184.1177918372,39,17,0,22,37
"21",259,2172.59889750744,37,16,0,21,62
"22",279,2129.03004786167,43,18,0,25,24
"23",267,2122.92116911629,38,13,0,25,6
"24",262,2072.8404391731,42,12,0,30,28
"25",277,2070.93472762824,39,12,0,27,6
"26",247,2046.71957080687,39,12,0,27,11
"27",264,2040.75988943983,36,9,0,27,61
"28",256,2028.95207493212,43,9,0,34,4
"29",255,2013.05330159754,38,7,0,31,22
"30",253,1975.83866560602,42,5,0,37,7
"31",268,1956.63059466436,38,3,0,35,5
"32",266,1946.25108170754,35,2,0,33,13
"33",248,1924.31057011891,46,4,0,42,24
"34",275,1901.17731655927,39,0,0,39,0
