"","Player","Rating","Games","Win","Draw","Loss","Lag"
"1",258,2475.8854019668,35,35,0,0,5
"2",250,2460.1500763466,32,32,0,0,21
"3",254,2409.65822171336,29,27,0,2,17
"4",263,2392.40245193104,25,23,0,2,0
"5",261,2390.15980153084,30,26,0,4,2
"6",274,2373.6448493552,30,26,0,4,42
"7",273,2365.28918394992,32,27,0,5,8
"8",249,2360.67927913113,29,24,0,5,8
"9",252,2347.49145952219,23,20,0,3,15
"10",271,2301.23259854695,32,22,0,10,4
"11",246,2287.46550780818,32,22,0,10,2
"12",251,2285.32142419226,33,23,0,10,3
"13",276,2282.4663843947,27,18,0,9,19
"14",278,2268.62227531905,37,23,0,14,5
"15",257,2240.55955217578,28,17,0,11,6
"16",272,2222.18763387395,28,15,0,13,25
"17",270,2189.68082510121,24,11,0,13,36
"18",255,2183.6612418187,32,15,0,17,12
"19",269,2170.16063605654,30,13,0,17,18
"20",262,2164.8791460823,30,13,0,17,15
"21",277,2141.96204530344,30,11,0,19,17
"22",259,2137.89081442731,30,12,0,18,16
"23",279,2123.8375479811,32,11,0,21,31
"24",256,2101.16974007758,35,10,0,25,12
"25",265,2098.89906508232,36,11,0,25,34
"26",247,2082.50979575751,30,8,0,22,7
"27",264,2069.36422585253,31,8,0,23,0
"28",260,2051.33901855514,34,8,0,26,4
"29",266,2001.68100768028,27,2,0,25,14
"30",267,1980.91756092411,31,2,0,29,1
"31",248,1978.92568818524,36,4,0,32,9
"32",253,1969.15973424458,31,2,0,29,7
"33",275,1959.36314442266,32,1,0,31,20
"34",268,1931.38266068952,31,0,0,31,11
