"","Player","Rating","Games","Win","Draw","Loss","Lag"
"1",279,2514.80671273857,43,43,0,0,24
"2",249,2455.19523977616,37,34,0,3,3
"3",252,2437.60436163994,36,33,0,3,16
"4",261,2430.76765004973,39,35,0,4,33
"5",274,2426.68267600702,40,35,0,5,3
"6",266,2416.16596657686,35,30,0,5,13
"7",257,2381.27231681197,37,28,0,9,1
"8",278,2376.37772943482,42,33,0,9,27
"9",251,2330.75275050228,42,32,0,10,9
"10",250,2267.06238889889,41,25,0,16,8
"11",262,2264.19235057893,42,25,0,17,28
"12",273,2255.86293178889,39,25,0,14,7
"13",258,2251.71625321515,41,25,0,16,63
"14",275,2235.69358304414,39,18,0,21,0
"15",254,2222.63154103257,39,22,0,17,12
"16",265,2216.0350734629,47,25,0,22,17
"17",268,2205.82341613615,38,19,0,19,5
"18",246,2195.44675224688,40,19,0,21,0
"19",247,2186.31178984272,39,19,0,20,11
"20",272,2176.29713997764,40,20,0,20,1
"21",248,2165.04619413647,46,21,0,25,24
"22",276,2128.8917163714,38,15,0,23,14
"23",271,2110.28162870955,39,12,0,27,37
"24",270,2093.47416573403,38,10,0,28,2
"25",263,2091.82317121886,36,12,0,24,2
"26",269,2069.28872370804,41,13,0,28,4
"27",256,2040.6514940898,43,10,0,33,4
"28",259,2037.08086561741,37,8,0,29,62
"29",255,2024.0551538332,38,8,0,30,22
"30",264,2017.23009863667,36,6,0,30,61
"31",260,1984.37829913012,41,7,0,34,10
"32",267,1949.29417006732,38,3,0,35,6
"33",277,1927.25522849027,39,2,0,37,6
"34",253,1914.55046649466,42,2,0,40,7
