"","Player","Rating","Games","Win","Draw","Loss","Lag"
"1",250,2496.73999016422,41,40,0,1,8
"2",254,2487.72330260682,39,38,0,1,12
"3",273,2469.22246967926,39,36,0,3,7
"4",246,2451.01364460665,40,36,0,4,0
"5",258,2447.93406766591,41,37,0,4,63
"6",251,2413.94250631159,42,36,0,6,9
"7",278,2410.35485779236,42,35,0,7,27
"8",274,2349.34412416836,40,30,0,10,3
"9",249,2342.09348122304,37,29,0,8,3
"10",261,2322.93651906264,39,28,0,11,33
"11",252,2312.68242789789,36,25,0,11,16
"12",263,2296.25892625585,36,24,0,12,2
"13",276,2279.12868767826,38,24,0,14,14
"14",262,2264.1729272105,42,24,0,18,28
"15",271,2249.75565942014,39,23,0,16,37
"16",259,2229.86060358834,37,20,0,17,62
"17",265,2216.95377086431,47,24,0,23,17
"18",272,2210.45525280459,40,21,0,19,1
"19",269,2166.99715084132,41,18,0,23,4
"20",260,2137.00972638673,41,15,0,26,10
"21",267,2132.62580554853,38,14,0,24,6
"22",257,2119.85247616845,37,15,0,22,1
"23",255,2100.51977981906,38,13,0,25,22
"24",264,2086.16828254072,36,11,0,25,61
"25",277,2070.88560260599,39,12,0,27,6
"26",279,2055.8919213024,43,11,0,32,24
"27",247,2013.65450444078,39,8,0,31,11
"28",270,2005.29721711173,38,6,0,32,2
"29",248,1982.14966970252,46,8,0,38,24
"30",275,1976.03249433493,39,4,0,35,0
"31",268,1940.51710562311,38,3,0,35,5
"32",256,1934.976082163,43,4,0,39,4
"33",266,1914.45632811189,35,0,0,35,13
"34",253,1912.39263429808,42,2,0,40,7
