"","Player","Rating","Games","Win","Draw","Loss","Lag"
"1",258,2466.23198057371,41,39,0,2,63
"2",250,2452.15586507689,41,37,0,4,8
"3",273,2421.00726351419,39,34,0,5,7
"4",252,2387.79602556631,36,29,0,7,16
"5",274,2380.84192934303,40,33,0,7,3
"6",251,2379.0909901077,41,33,0,8,9
"7",254,2362.01092466853,39,31,0,8,12
"8",246,2350.78533774452,40,30,0,10,0
"9",263,2346.76544115766,36,27,0,9,2
"10",249,2344.17416087042,37,29,0,8,3
"11",276,2338.18223770227,38,27,0,11,14
"12",278,2317.28962961264,42,30,0,12,27
"13",271,2307.28973727086,39,25,0,14,37
"14",261,2270.18974166803,39,26,0,13,33
"15",272,2239.96478890922,40,23,0,17,1
"16",259,2232.78968248013,37,20,0,17,62
"17",269,2211.15360246586,41,21,0,20,4
"18",262,2208.20990249745,42,20,0,22,28
"19",248,2180.80744128046,46,22,0,24,24
"20",247,2169.33870438302,39,16,0,23,11
"21",256,2158.24927851499,43,17,0,26,4
"22",257,2115.65248770242,37,14,0,23,1
"23",270,2095.39999811998,38,12,0,26,2
"24",277,2091.61674522769,39,13,0,26,6
"25",279,2073.26935526835,43,12,0,31,24
"26",255,2067.34520441666,38,12,0,26,22
"27",267,2053.22463841066,37,8,0,29,6
"28",264,2004.99567695556,36,6,0,30,61
"29",275,1994.45266478915,39,6,0,33,0
"30",265,1992.21323095118,47,9,0,38,17
"31",253,1958.82483135298,42,5,0,37,7
"32",268,1950.14341355362,38,3,0,35,5
"33",266,1941.73001303703,35,2,0,33,13
"34",260,1936.80707480684,41,2,0,39,10
