"","Player","Rating","Games","Win","Draw","Loss","Lag"
"1",250,2518.25858316339,41,41,0,0,8
"2",254,2490.02153815036,39,38,0,1,12
"3",246,2444.61356389644,40,36,0,4,0
"4",273,2410.22735485661,39,33,0,6,7
"5",251,2403.92956715422,42,35,0,7,9
"6",249,2394.59197839775,37,30,0,7,3
"7",278,2373.15234437233,42,32,0,10,27
"8",258,2370.94107732269,41,34,0,7,63
"9",261,2368.23263983863,39,31,0,8,33
"10",262,2360.23200659838,42,31,0,11,28
"11",274,2313.49386385047,40,28,0,12,3
"12",252,2301.85640877135,36,24,0,12,16
"13",271,2288.69493955713,39,24,0,15,37
"14",263,2282.78674961062,36,25,0,11,2
"15",248,2266.2190141697,46,27,0,19,24
"16",276,2249.37420754484,38,23,0,15,14
"17",267,2208.06570661609,38,19,0,19,6
"18",277,2194.67011834623,39,19,0,20,6
"19",272,2164.02999797234,40,17,0,23,1
"20",256,2138.05545634276,43,16,0,27,4
"21",259,2133.00161827381,37,14,0,23,62
"22",269,2109.99590936366,41,14,0,27,4
"23",255,2077.85201249812,38,12,0,26,22
"24",265,2077.83371255974,47,15,0,32,17
"25",275,2051.24060450115,39,10,0,29,0
"26",257,2047.73261648453,37,9,0,28,1
"27",264,2024.88647464951,36,6,0,30,61
"28",270,1995.75339033777,38,6,0,32,2
"29",268,1994.49120910379,38,7,0,31,5
"30",247,1993.37892712892,39,6,0,33,11
"31",279,1965.12603794716,43,6,0,37,24
"32",260,1962.80858073629,41,4,0,37,10
"33",266,1914.44004944972,35,0,0,35,13
"34",253,1910.01174043348,42,2,0,40,7
