"","Player","Rating","Games","Win","Draw","Loss","Lag"
"1",250,2473.51308062198,41,38,0,3,8
"2",251,2471.4095948696,42,39,0,3,9
"3",258,2468.23207021458,41,38,0,3,63
"4",278,2467.19944040032,42,39,0,3,27
"5",246,2452.98557168605,40,38,0,2,0
"6",249,2420.11356243588,37,33,0,4,3
"7",254,2413.50228840293,39,33,0,6,12
"8",263,2329.28726552453,36,27,0,9,2
"9",252,2315.9248880614,36,25,0,11,16
"10",262,2315.85092197238,42,27,0,15,28
"11",274,2295.36039421648,40,28,0,12,3
"12",261,2289.03893947774,39,26,0,13,33
"13",273,2285.28113053027,39,26,0,13,7
"14",271,2263.10032243459,39,21,0,18,37
"15",247,2244.93558971118,39,21,0,18,11
"16",276,2241.90809115618,38,22,0,16,14
"17",265,2210.49709337852,47,24,0,23,17
"18",259,2193.74518490952,37,17,0,20,62
"19",269,2185.46493892129,41,21,0,20,4
"20",272,2161.72338072504,40,18,0,22,1
"21",257,2145.28596500222,37,15,0,22,1
"22",279,2110.93141473456,43,16,0,27,24
"23",260,2102.93303678216,41,14,0,27,10
"24",277,2077.64811479723,39,12,0,27,6
"25",270,2049.82168351602,38,9,0,29,2
"26",267,2034.76233347736,38,9,0,29,6
"27",255,2027.85002734958,38,8,0,30,22
"28",256,2022.50836355456,43,8,0,35,4
"29",264,2022.06644446108,36,7,0,29,61
"30",248,1987.10016622893,46,8,0,38,24
"31",253,1940.24177134714,42,3,0,39,7
"32",266,1931.83368908665,35,1,0,34,13
"33",268,1927.13216812632,38,2,0,36,5
"34",275,1920.81107188573,39,1,0,38,0
