"","Player","Rating","Games","Win","Draw","Loss","Lag"
"1",278,2507.95010149932,42,42,0,0,27
"2",251,2489.59374113662,42,40,0,2,9
"3",246,2470.18954505641,40,38,0,2,0
"4",250,2457.72901012025,41,36,0,5,8
"5",258,2420.70269109715,41,36,0,5,63
"6",262,2395.96841554612,42,33,0,9,28
"7",254,2393.66562494557,39,32,0,7,12
"8",261,2368.62939283192,39,31,0,8,33
"9",249,2362.25245244614,37,29,0,8,3
"10",252,2360.45073804749,36,28,0,8,16
"11",271,2330.18031161605,39,27,0,12,37
"12",273,2278.82959604487,39,25,0,14,7
"13",274,2266.99695490226,40,25,0,15,3
"14",263,2256.21701240841,36,22,0,14,2
"15",248,2239.20439265363,46,25,0,21,24
"16",276,2201.35466616725,38,19,0,19,14
"17",270,2199.65212815255,38,19,0,19,2
"18",259,2190.63190030102,37,17,0,20,62
"19",269,2173.97520944238,41,18,0,23,4
"20",279,2145.12033056347,43,18,0,25,24
"21",257,2110.35475993756,37,15,0,22,1
"22",267,2106.11977901222,38,13,0,25,6
"23",272,2100.38773587171,40,13,0,27,1
"24",265,2080.82707784101,47,14,0,33,17
"25",247,2067.5364525436,39,11,0,28,11
"26",277,2047.52275043839,39,10,0,29,6
"27",264,2034.46021082827,36,8,0,28,61
"28",260,2025.16311975825,41,8,0,33,10
"29",255,2003.15409593295,38,8,0,30,22
"30",256,1998.06313072349,43,7,0,36,4
"31",266,1962.19610608403,35,3,0,32,13
"32",268,1931.84009148,38,2,0,36,5
"33",253,1923.07206949917,42,2,0,40,7
"34",275,1900.00840507049,39,0,0,39,0
