taskId,img0Id,img1Id,img0Name,img1Name,jason,jim,karyn,kelly,maria,mike,mikeR,mikeS,nina,paul,pete,susan,testuser4
0,251,267,31.jpg,13.jpg,1,1,1,1,1,1,,1,1,1,1,1,1
1,273,248,6.jpg,15.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
2,275,278,28.jpg,24.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,247,246,9.jpg,21.jpg,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
4,273,277,6.jpg,7.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
5,266,279,25.jpg,17.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,259,266,4.jpg,25.jpg,1,1,1,1,-1,1,1,1,1,1,1,1,-1
7,247,254,9.jpg,11.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,260,275,26.jpg,28.jpg,1,-1,1,1,1,1,-1,-1,-1,1,1,1,1
9,250,278,8.jpg,24.jpg,1,1,1,1,-1,1,1,1,-1,-1,-1,1,-1
10,246,250,21.jpg,8.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1
11,256,266,32.jpg,25.jpg,1,1,-1,1,-1,1,1,1,1,1,-1,1,-1
12,260,272,26.jpg,2.jpg,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,252,277,16.jpg,7.jpg,1,1,1,,1,1,1,1,1,1,1,1,1
14,269,276,30.jpg,23.jpg,-1,-1,1,,-1,-1,-1,-1,1,-1,-1,-1,-1
15,256,260,32.jpg,26.jpg,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1
16,258,273,35.jpg,6.jpg,1,1,1,1,-1,1,1,1,1,1,1,1,-1
17,260,279,26.jpg,17.jpg,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1
18,274,248,29.jpg,15.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
19,248,249,15.jpg,27.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
