Row Labels,img0,img1,rank0,rank1,rankDiff,jason,jim,karyn,kelly,maria,mike,mikeR,mikeS,nina,paul,pete,susan,testuser4,1s,`-1s,totalCount,agreementRatio
0,251,267,7,25,18,1,1,1,1,1,1,,1,1,1,1,1,1,12,0,12,1.00
1,273,248,6,24,18,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,1.00
2,275,278,30,4,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,13,1.00
3,247,246,20,9,11,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,12,13,0.92
4,273,277,6,29,23,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,1.00
5,266,279,31,19,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,13,1.00
6,259,266,18,31,13,1,1,1,1,-1,1,1,1,1,1,1,1,-1,11,2,13,0.85
7,247,254,20,5,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,13,1.00
8,260,275,28,30,2,1,-1,1,1,1,1,-1,-1,-1,1,1,1,1,9,4,13,0.69
9,250,278,1,4,3,1,1,1,1,-1,1,1,1,-1,-1,-1,1,-1,8,5,13,0.62
10,246,250,9,1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,2,11,13,0.85
11,256,266,26,31,5,1,1,-1,1,-1,1,1,1,1,1,-1,1,-1,9,4,13,0.69
12,260,272,28,17,11,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,12,13,0.92
13,252,277,10,29,19,1,1,1,,1,1,1,1,1,1,1,1,1,12,0,12,1.00
14,269,276,21,15,6,-1,-1,1,,-1,-1,-1,-1,1,-1,-1,-1,-1,2,10,12,0.83
15,256,260,26,28,2,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,3,10,13,0.77
16,258,273,3,6,3,1,1,1,1,-1,1,1,1,1,1,1,1,-1,11,2,13,0.85
17,260,279,28,19,9,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,4,9,13,0.69
18,274,248,11,24,13,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,1.00
19,248,249,24,2,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,13,1.00
20,246,259,9,18,9,1,-1,1,1,1,1,-1,1,1,1,1,1,-1,10,3,13,0.77
21,263,269,14,21,7,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,1.00
22,246,249,9,2,7,-1,-1,-1,1,-1,-1,-1,1,1,1,1,1,-1,6,7,13,0.54
23,273,278,6,4,2,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,10,3,13,0.77
24,279,265,19,22,3,-1,1,1,-1,1,-1,1,-1,1,-1,1,-1,1,7,6,13,0.54
25,256,276,26,15,11,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,12,13,0.92
26,260,273,28,6,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,13,1.00
27,259,276,18,15,3,-1,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,3,10,13,0.77
28,257,273,16,6,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,13,1.00
29,249,269,2,21,19,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,1.00
30,254,255,5,27,22,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,1.00
31,271,272,12,17,5,1,1,-1,1,-1,1,-1,1,-1,1,1,1,-1,8,5,13,0.62
32,261,272,8,17,9,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,1.00
33,261,277,8,29,21,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,1.00
34,274,276,11,15,4,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,1.00
35,274,275,11,30,19,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,1.00
36,247,273,20,6,14,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,12,13,0.92
37,247,257,20,16,4,1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,3,10,13,0.77
38,257,269,16,21,5,1,1,1,1,1,1,-1,-1,1,-1,1,1,1,10,3,13,0.77
39,275,279,30,19,11,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,2,11,13,0.85
40,251,278,7,4,3,-1,-1,1,1,1,1,1,1,-1,1,-1,1,1,9,4,13,0.69
41,249,256,2,26,24,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,1.00
42,260,274,28,11,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,13,1.00
43,252,271,10,12,2,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,1.00
44,277,256,29,26,3,1,1,1,1,1,1,1,1,1,1,1,1,-1,12,1,13,0.92
45,273,275,6,30,24,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,1.00
46,258,266,3,31,28,1,1,1,1,-1,1,1,1,1,1,1,1,-1,11,2,13,0.85
47,261,266,8,31,23,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,1.00
48,267,250,25,1,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,13,1.00
