"","Player","Rating","Games","Win","Draw","Loss","Lag"
"1",250,2516.95927747413,41,41,0,0,8
"2",258,2475.83831750112,41,39,0,2,63
"3",273,2452.88557237158,39,35,0,4,7
"4",246,2452.47826294486,40,36,0,4,0
"5",254,2433.97330339861,39,35,0,4,12
"6",251,2407.82736534072,42,35,0,7,9
"7",263,2406.38151561448,36,30,0,6,2
"8",278,2394.27963452816,42,34,0,8,27
"9",274,2354.21395479747,40,30,0,10,3
"10",261,2332.59400944965,39,29,0,10,33
"11",249,2312.25821739185,37,27,0,10,3
"12",252,2295.33656525973,36,25,0,11,16
"13",271,2251.05461062071,39,23,0,16,37
"14",265,2229.76237864394,47,26,0,21,17
"15",276,2220.29176434573,38,20,0,18,14
"16",257,2219.55975506327,37,20,0,17,1
"17",262,2213.40470958821,42,22,0,20,28
"18",270,2192.59693426829,38,17,0,21,2
"19",272,2170.9333483621,40,19,0,21,1
"20",260,2156.6061586243,41,17,0,24,10
"21",255,2135.53071795288,38,14,0,24,22
"22",269,2132.89887790759,41,16,0,25,4
"23",259,2108.42273870633,37,12,0,25,62
"24",248,2083.64830325707,46,14,0,32,24
"25",279,2060.41845899146,43,13,0,30,24
"26",277,2053.28923908949,39,10,0,29,6
"27",267,2039.4932137331,38,8,0,30,6
"28",247,2026.71042276603,39,9,0,30,11
"29",264,1988.39921362787,36,5,0,31,61
"30",256,1981.60725371725,43,7,0,36,4
"31",268,1948.13615418733,38,3,0,35,5
"32",275,1946.17682101142,39,2,0,37,0
"33",266,1908.01105872903,35,0,0,35,13
"34",253,1898.02187073422,42,1,0,41,7
